Municípios,Domicílios Total,Água,Água Part./Total %,Esgoto,Esgoto Part./Total %,Lixo,Lixo Part./Total %
Alto Bela Vista,593,160,"27,0",-,-,215,"36,3"
Arabutã,1.146,347,"30,3",18,"1,6",328,"28,6"
Arvoredo,554,172,"31,0",1,"0,2",109,"19,7"
Concórdia,18.151,13.718,"75,6",1.337,"7,4",13.891,"76,5"
Ipira,1.404,591,"42,1",2,"0,1",659,"46,9"
Ipumirim,1.860,793,"42,6",71,"3,8",790,"42,5"
Irani,2.139,1.357,"63,4",24,"1,1",1.347,"63,0"
Itá,1.800,1.059,"58,8",519,"28,8",976,"54,2"
Jaborá,1.129,424,"37,6",-,-,477,"42,2"
Lindóia do Sul,1.273,473,"37,2",56,"4,4",442,"34,7"
Paial,520,85,"16,3",-,-,65,"12,5"
Peritiba,888,406,"45,7",3,"0,3",441,"49,7"
Piratuba,1.417,754,"53,2",14,"1,0",776,"54,8"
Presidente Castelo Branco,546,156,"28,6",-,-,173,"31,7"
Seara,4.437,2.760,"62,2",162,"3,7",2.807,"63,3"
Xavantina,1.081,287,"26,5",141,"13,0",445,"41,2"
REGIÃO,38.938,23.542,"60,5",2.348,"6,0",23.941,"61,5"
SANTA CATARINA,1.498.742,1.117.430,"74,6",292.268,"19,5",1.244.660,"83,0"
