Item,Página
Tabela 1 Evolução do número de cidades brasileiras com sistemas de água e esgoto,34
Tabela 2 Distribuição de Água Por Município No Brasil,39
Tabela 3 Investimentos previstos (R$ milhões) para a universalização dos serviços de saneamento no Brasil,45
Tabela 4 Estrutura e Obrigações no Âmbito do Saneamento Básico de acordo com a Lei nº 11.445/2007,83
"Tabela 5 Abastecimento de Água, Rede de Esgoto e Coleta de Lixo (Região de Caçador, 2000)",125
Tabela 6 Acesso à água no Município de Caçador (2010),126
Tabela 7 Acesso a esgoto no Município de Caçador (2010),126
Tabela 8 Coleta de lixo no Município de Caçador (2010),126
"Tabela 9 Abastecimento de Água, Rede de Esgoto e Coleta de Lixo (Região de Videira, 2000)",129
Tabela 10 Acesso à água no Município de Videira (2010),130
Tabela 11 Acesso a esgoto no Município de Videira (2010),130
Tabela 12 Coleta de Lixo no Município de Videira (2010),130
"Tabela 13 Abastecimento de Água, Rede de Esgoto e Coleta de Lixo (Região de Concórdia, 2000)",132
Tabela 14 Acesso à água no Município de Concórdia (2010),134
Tabela 15 Acesso a esgoto no Município de Concórdia (2010),134
Tabela 16 Coleta de Lixo no Município de Concórdia (2010),134
