Seção,Página
2.6.1 - Sistema de Distribuição de Recursos para os Estados no Brasil,100
2.6.1.1 - Sistema de Distribuição de Recursos para fins de Saneamento no Brasil,101
2.6.2 - Sistema de Distribuição de Recursos para as Províncias no Canadá,103
2.6.2.1 - Breve menção sobre o sistema de saneamento no Canadá,104
2.6.2.2 - Sistema de Distribuição de Recursos para fins de Saneamento no Canadá,106
2.6.3 - Comparações preliminares em âmbito nacional,107
2.6.4 - Principais desafios no Brasil e Canadá,109
2.6.4.1 - Desafios do saneamento rural no Brasil,109
2.6.4.2 - Desafios no saneamento nas reservas indígenas no Canadá,111
"2.6.5 - Comparação entre municípios do Estado de Santa Catarina, Brasil e na Província de Ontário, Canadá",113
2.6.5.1 - Contextualização Ontário e Santa Catarina,113
2.6.5.2 - Dos municípios selecionados,124
2.6.5.2.1 - Caçador,124
2.6.5.2.2 - Videira,129
2.6.5.2.3 – Concórdia,131
2.6.5.2.4 - Sault Ste. Marie,135
2.6.5.2.5 - Thunder Bay,136
2.6.5.2.6 - North Bay,137
2.6.5.2.7 - Chatham-Kent,139
2.6.5.2.8 - Woodstock,141
2.6.5.2.9 - Kenora,142
3 METODOLOGIA DA PESQUISA,144
4. RESULTADOS E DISCUSSÕES,150
4.1 - Comparação com base em população e distância da capital,150
4.2. - Comparação em relação a matriz econômica dos municípios analisados,151
4.3 - Comparação do Brasil e Canadá à luz das ODS 6 e 11,153
4.4 - Proposta de Intervenção,161
CONSIDERAÇÕES FINAIS,169
REFERÊNCIAS,174
