title,authors,year,doi,url,abstract,database,search_id
"Sociodemographic and clinical factors influencing typhoid fever prevalence and multidrug resistance in Niger State, Nigeria",Musa D.A.; Majiya H.; Umar A.; Akor S.E.; Mambula-Machunga S.; Aremu H.K.; Sule E.; Abah S.E.; Balogu V.T.; Iloh A.C.; Smith S.I.,2025,10.1371/journal.pone.0327740,https://www.scopus.com/pages/publications/105010498863?origin=resultslist,"Background This study investigated the prevalence of typhoid fever and the factors contributing to multidrug resistance in Niger State, Nigeria, a region affected by limited sanitation and healthcare access. Methodology A cross-sectional study design was employed across communities in Niger State, Nigeria, where participants in different communities of the state aged 18 years and above were enrolled. Salmonella enterica serotype Typhi isolation from stool and determination and interpretation of multi-drug resistance were performed according to the Clinical Laboratory Standards Institute (CLSI) methods. We examined the associations between sociodemographic characteristics, clinical factors, and multidrug resistant (MDR) in Salmonella enterica serotype Typhi. Principal findings/conclusions Among the 624 participants, typhoid fever prevalence was recorded at 36.5%, with young adults (ages 18–27) and semi-urban residents demonstrating higher infection rates. Antibiotic sensitivity testing revealed 98% resistance to amoxicillin/clavulanic acid, whereas gentamicin and levofloxacin exhibited high efficacy. Our findings underscore the urgent need for health education, improved antibiotic regulation, and Water, Sanitation, and Hygiene (WASH) interventions to control typhoid fever and mitigate MDR challenges. © 2025 Musa et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",Scopus,SEARCH_021a
A review of the social and local dynamics in South Africa's water-energy-food nexus,Khofi L.; Manderson L.; Reid M.; Moyer E.,2025,10.1016/j.jenvman.2025.124938,https://www.scopus.com/pages/publications/86000565378?origin=resultslist,"Socioeconomic and environmental factors significantly shape the availability, accessibility, and affordability of water, energy, and food (WEF) resources in households and communities. In this review, we identify a significant gap in understanding how these factors intersect in the South African context, where inequalities in resource distribution persist. We critically examine the conditions influencing resource availability and explore the conceptual value of the WEF Nexus in guiding decision-making at local levels. Our findings highlight key barriers, including socio-economic disparities and systemic inefficiencies within governance, infrastructure, and resource management systems, which hinder the effective application of the WEF Nexus to improve livelihoods. We argue that integrating the WEF Nexus into decision-making requires a holistic, context-sensitive approach that prioritizes equity and sustainability. This review contributes to the discourse on resource management by offering actionable insights for policymakers and stakeholders to address water, energy, and food challenges in marginalized communities. © 2025 The Authors",Scopus,SEARCH_021a
Food Safety Practices Among Small-Scale Produce Growers Exempt from Federal Regulations: A Systematic Literature Review,Temple J.; Boltz T.P.; Blythe J.M.; Ashwell C.M.; Shen C.,2025,10.1016/j.jfp.2025.100648,https://www.scopus.com/pages/publications/105020469467?origin=resultslist,"Small-scale produce growers exempt from the Food Safety Modernization Act (FSMA) Produce Safety Rule (PSR) are not required to follow federal food safety standards, yet their practices have direct implications for public health. The extent to which knowledge, attitudes, and behaviors (KAB) influence voluntary adoption of PSR-aligned practices in this group remains unclear. This systematic literature review aimed to examine self-reported food safety behaviors and willingness to adopt practices among FSMA-exempt small-scale growers. Following the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines, six databases (ScienceDirect, Web of Science, Scopus, AGRIS, AGRICOLA, and ProQuest) were searched for studies published from 2013 to 2025. Eligible studies included cross-sectional surveys reporting on food safety behaviors and KAB across three high-risk domains: agricultural water (AW), cleaning and sanitation (CS), and storage and transport (ST). Out of 133 records screened, seven studies met the inclusion criteria. Six reported findings on AW, five on CS, and five on ST. Use of tested well water ranged from 28.9% to 39.4%; 71–74% of respondents reported managing sanitation or packing produce in designated facilities; and 64% reported managing transport sanitation. Despite widespread awareness of food safety importance, the adoption of specific practices was inconsistent. Findings underscore a gap between intention and implementation, reinforcing the need for targeted outreach and affordable infrastructure solutions to support voluntary compliance among FSMA-exempt growers. © 2025 The Author(s)",Scopus,SEARCH_021a
Contextual and psychosocial factors predicting sanitation behaviours in rural Indonesia,Nastiti A.; Daniel D.; Oktavia H.; Fathiyannisa H.; Sudradjat A.,2025,10.1186/s12889-025-21893-3,https://www.scopus.com/pages/publications/85218965361?origin=resultslist,"Background: Rural areas in the Southern hemisphere bear the brunt of inadequate sanitation services and high prevalence of open defecation. Our study in an Indonesian remote village underscores the critical role of psychosocial factors influencing sanitation behavior in such marginalised communities. This study explores contextual and RANAS (Risk, Attitudes, Norms, Abilities, and Self-regulation) psychosocial factors determining sanitation behaviour in rural Indonesia. Methods: In a cross-sectional survey of 371 rural households, we gathered data on personal characteristics, sanitation behaviours, and RANAS factors and performed regression analysis. Results: We found that most respondents do not use the toilet regularly, and no household has safely managed sanitation facilities. Among all contextual factors, households with equal power in determining household expenses between husbands and wives and households with access to hygiene information tend to practice better sanitation behaviours and latrine use. Meanwhile, RANAS factors that primarily affect sanitation behaviour in this study are remembering (part of self-regulation, OR = 0.35), followed by feeling (attitude, OR = 0.31) and commitment (self-regulation, OR = 0.18). Conclusions: One in every four people interviewed in rural Luwu practices open defecation and no household has access to safely managed sanitation. In reducing open defecation rate in rural areas of Indonesia, the government should strengthen their efforts and concentrate on programmes that address the three identified psychosocial variables, along with improving access. While many studies on the determinants of sanitation behaviours in LMICs analyse contextual factors only, we argue that Indonesian sanitation behavioural interventions should use the RANAS model to identify psychosocial factors. © The Author(s) 2025.",Scopus,SEARCH_021a
Evolution of Eligibility Criteria in Inflammatory Bowel Disease Clinical Trials: A Clinical Trial Databank Analysis,Outtier A.; Janssens R.; Barbier L.; Sabino J.; Verstockt B.; Vermeire S.; Huys I.; Ferrante M.,2025,10.1002/ueg2.12731,https://www.scopus.com/pages/publications/85212400301?origin=resultslist,"Background: Eligibility criteria in clinical trials have been criticised for being overly restrictive without clinical justification. Objective: We aimed to investigate the types, evolution, and current status of eligibility criteria in clinical trials for inflammatory bowel diseases (IBD). Methods: We performed a clinical trial databank search on clinicaltrials.gov, and included all Phase 3 placebo-controlled randomised-controlled trials (RCTs) investigating biologics or small molecules as induction therapy for moderate-to-severe Crohn's disease (CD) and ulcerative colitis (UC). Eligibility criteria were analysed both quantitatively and qualitatively. Results: Fifty-nine RCTs were identified between the year 2000 and 2022 (30 for CD and 29 for UC). The median (interquartile range) number of eligibility criteria was 44 (38–49), and did not significantly change over the studied time period (p = 0.26). Qualitative analysis showed that common patient populations, such as older patients, therapy refractory patients, patients with comorbidities, prior malignancies, unclassified IBD type, ulcerative proctitis, stricturing and fistulizing CD, as well as patients with an ostomy, were often excluded. Heterogeneity in eligibility criteria across the different IBD clinical trials was found, such as for disease activity measurement, dosage of concomitant medication, wash-out period of advanced therapies, and laboratory tests. Conclusion: The median number of eligibility criteria for IBD RCTs did not significantly change over time. The eligibility criteria are however restrictive and complex, limiting the generalisability of efficacy and safety outcomes in daily practice when drugs are approved. Future research is needed to investigate the impact of broadening eligibility criteria to better encompass real-world practice. © 2024 The Author(s). United European Gastroenterology Journal published by Wiley Periodicals LLC on behalf of United European Gastroenterology.",Scopus,SEARCH_021a
The association between women's decision-making roles in sanitation and mental well-being in urban Bangladesh,Stephan N.; Sinharoy S.S.; Waford R.; Patrick M.; Mink T.; Bhan T.; Ahmed T.; Ahmed A.; Caruso B.A.,2025,10.1016/j.healthplace.2025.103515,https://www.scopus.com/pages/publications/105010875534?origin=resultslist,"Research indicates that women and girls face gender-specific stressors related to sanitation that affect their mental health, and women's decision-making agency may play a role in this relationship. This study aimed to quantitatively assess the association between women's sanitation-related decision-making – overall, within the household, and within the community – and well-being in two urban municipalities in Bangladesh. This paper is a secondary analysis of cross-sectional survey data collected from 1449 women in Meherpur and Saidpur, Bangladesh from March–April 2022. We measured well-being using the World Health Organization Well-being Index [WHO-5] and primary exposures included women's sanitation-related decision-making and access to an unshared latrine. Decision-making was measured using the Agency, Resources, and Institutional Structures for Sanitation-related Empowerment (ARISE) scale; the full-scale score was utilized in the first analysis and the five individual factor scores were used in the second. Linear regression models were employed to assess the associations between decision-making and well-being scores, controlling for life stage, socioeconomic level, perceived social support and self-reported physical health. Analyses were conducted with city as a fixed effect and also stratified by city. Mean well-being scores were moderate in both cities, with approximately 20 % of respondents reporting poor well-being. On average, women generally agreed that they had a role in sanitation-related decision making (mean score = 2.66 on a 1–4 scale, with higher scores indicating stronger agreement that they had the ability to make sanitation-related decisions). In the full models using the full decision-making scale score, results indicated a positive association between the overall decision-making scale score and well-being (β = 0.73, p = 0.02). In full models using decision-making factor scores, we observed a positive association between well-being and individual decision-making factor scores for the ability to influence community-level sanitation decisions (β = 1.10, p = 0.0002) and to make small household sanitation decisions (β = 1.07, p = 0.006). Conversely, the ability to participate in community-level sanitation decisions was negatively associated with well-being (β = −0.68, p = 0.02). The ability to participate in household sanitation decisions and make large household sanitation decisions were not associated with well-being. Access to an unshared latrine was not associated with well-being in fully adjusted models. The relationships between decision-making factors and well-being varied in analyses stratified by city. Women's involvement in sanitation-related decision-making likely varies based on the extent of their participation, the nature of the decisions, and a range of contextual and household- or individual-level factors (e.g., socioeconomic level, age, education). To effectively improve women's well-being, sanitation programs must be informed by context-specific research exploring sanitation-related decision-making and its mediators among the populations of interest. © 2025",Scopus,SEARCH_021a
Antimicrobial Resistance in Sub-Saharan Africa: A Comprehensive Landscape Review,Totaro V.; Guido G.; Cotugno S.; De Vita E.; Asaduzzaman M.; Patti G.; Segala F.V.; Putoto G.; Frallonardo L.; Farkas F.B.; Lakatos B.; Veronese N.; Locantore P.; Di Gennaro F.; Saracino A.,2025,10.4269/ajtmh.25-0035,https://www.scopus.com/pages/publications/105013156880?origin=resultslist,"Antimicrobial resistance (AMR) is a critical health challenge in sub-Saharan Africa (SSA), driven by socioeconomic disparities, weak healthcare systems, and inadequate pharmaceutical regulation. This review examines AMR prevalence, drivers, and consequences in SSA, emphasizing the need for urgent interventions. A literature review was conducted using PubMed, Web of Science, Scopus, and Google Scholar, including studies published from January 2000 to June 2024. The focus was on AMR epidemiology, public health impacts, and interventions specific to SSA. High resistance rates were identified in Escherichia coli, Klebsiella pneumoniae, and Staphylococcus aureus. Key drivers include limited healthcare access; antibiotic misuse; poor surveillance; inadequate water, sanitation, and hygiene infrastructure; and poverty. AMR leads to increased mortality, prolonged hospital stays, and higher healthcare costs, with SSA projected to face 4.1 million AMR-related deaths annually by 2050 without action. Addressing AMR in SSA requires strengthening healthcare systems, expanding surveillance, enforcing pharmaceutical regulations, and enhancing education. International collaboration and funding are essential to mitigate AMR’s impacts and support progress toward universal health coverage and the Sustainable Development Goals. Copyright © 2025 The author(s)",Scopus,SEARCH_021a
An evaluation for sustainable urban planning of Qonayev City in Kazakhstan through residents’ perception,Akbar I.; Sergeyeva A.; Nurgaliyeva G.; Toktaganova G.; Baiburiev R.; Ismailova M.; Li Y.,2025,10.1007/s43621-025-02148-y,https://www.scopus.com/pages/publications/105022640671?origin=resultslist,"This study aims to assess sustainable urban planning in the city of Qonayev, Kazakhstan, the administrative center of Almaty Region in southeastern Kazakhstan, situated near the Ili River and functioning as a rapidly developing urban hub within the greater Almaty metropolitan area, through the lens of residents’ perceptions. Its main objective is to analyze citizens’ views on the city’s sustainability across ecological, social, economic, and political dimensions, as well as to identify their concrete suggestions. The data were collected in 2024 through a survey of 574 respondents, and the statistical analysis, including cluster and factor analysis, was conducted using SPSS and Excel. The results showed that the average sustainability score of Qonayev is 66.76%, categorizing it as potentially sustainable. The social dimension (74.16%) and economic dimension (66.88%) received higher scores, particularly in areas such as access to education for children, water supply, and investment volume. The ecological (58.42%) and political dimensions (58.74%) received lower scores, especially in areas such as waste management, ecological transport, and budget transparency. The study identifies problems associated with low citizen participation and proposes three development scenarios: sustainable, optimal, and regressive. This dataset is valuable as a methodological model for assessing sustainable urban planning in Kazakhstan and Central Asia. It enables policymakers to develop needs-based solutions and allows researchers to analyze the effectiveness of civic engagement. Furthermore, the study highlights the importance of empowering local communities to play a more significant role in implementing sustainable development. © The Author(s) 2025.",Scopus,SEARCH_021a
Designating river environments as bathing waters: challenges and opportunities at the science-policy interface,Oliver D.M.,2025,10.1093/sumbio/qvaf015,https://www.scopus.com/pages/publications/105040052325?origin=resultslist,"Regulatory standards for primary contact recreation are used around the world to limit risks to human health from exposure to poor water quality. Prior to 2020, no stretches of river in the UK were designated as bathing water environments. However, growing recreational use of rivers combined with grassroots action by campaign groups to promote a river clean-up agenda has helped to establish, and increase the number of, designated riverine bathing waters in the UK. Nevertheless, since 2020 most newly designated riverine bathing waters have struggled to meet the microbiological standards associated with the Bathing Water Directive due to anthropogenic inputs originating from farming, sewage, and wastewater discharges. This is, in part, due to UK rivers being managed historically for different ecosystem services, with no statutory monitoring for public health. Calls are growing for river water quality improvements, fuelled by frequent media coverage concerning sewage overflows into freshwater environments and widespread recognition of poor delivery on targets for UK waterbody quality. In response, a five-point plan to improve understanding and future management of faecal indicators at riverine bathing water sites is proposed, offering transferability to other regions of the world where microbiological monitoring of river environments is needed to support recreation. © The Author(s) 2025. Published by Oxford University Press on behalf of Applied Microbiology International. This is an Open Access article distributed under the terms of the Creative Commons Attribution License (https://creativecommons.org/licenses/by/4.0/), which permits unrestricted reuse, distribution, and reproduction in any medium, provided the original work is properly cited.",Scopus,SEARCH_021a
"Climate change impacts on water, sanitation, and hygiene (WASH) systems in Nepal: users' perception of community-managed WASH systems",Singh R.J.; Ibrahim N.; Pandey V.P.,2025,10.2166/washdev.2025.138,https://www.scopus.com/pages/publications/105020675238?origin=resultslist,"Climate change (CC) adds challenges in delivering reliable water, sanitation, and hygiene (WASH) services. This research assessed CC impacts on community-managed WASH systems in Nepal through surveys in three municipalities of three districts (i.e., Jumla, Baglung, and Sindhuli) representing three distinct physiographic regions: high mountain, middle mountain, and hill of Nepal. This study followed a quantitative approach using a questionnaire survey. It assessed the perceptions of 103 Water Users and Sanitation Committee (WUSC) members on CC, its causes, and impacts on sustainability, alongside insights from 103 caretakers regarding its impacts on WASH system functionality. Results were validated with historical climatic data (1994–2024) analysis and found consistent with perceptions. Respondents reported that 63% of water sources showed depletion, and 5% dried up, affecting water availability, reliability, and quality. Furthermore, seasonal turbidity influences 62% of water quality, phenomena such as floods and landslides damage WASH infrastructures, and droughts diminish water sources, adversely impacting the WASH system's functionality. Respondents experienced financial, institutional, environmental, technical, and social constraints that further impeded sustainability, with only 3% of WASH systems achieving satisfactory performance, 74% achieving average, and 23% performing poorly. These findings provide insights for policymakers and practitioners in formulating strategies for developing climate-resilient WASH systems in Nepal. © 2025 The Authors.",Scopus,SEARCH_021a
