title,authors,year,doi,url,abstract,database,search_id
HIPAA and Patient Privacy: Tribal Policies as Added Means for Addressing Indian Health Disparities,"Roels, Starla Kay",2006,10.2307/20070772,http://www.jstor.org/stable/20070772,,JSTOR,SEARCH_041
CONSTRUCTING CITIZENSHIP,"Rahman, K. Sabeel",2018,,https://www.jstor.org/stable/26542514,"[While income inequality has become an increasingly central focus of public policy debate and public law scholarship, systemic inequality and exclusion are produced not just by disparities in income but also by more hidden and pernicious background rules that systematically disadvantage and subordinate certain constituencies. This Essay focuses on a particularly crucial—and often underappreciated—site for the construction and contestation of systemic inequality and exclusion: the provision of, and terms of access to, basic necessities like water, housing, and healthcare. We can think of these necessities as “public goods,” which carry a greater moral and political importance as foundational goods and services that make other forms of social, economic, or political activity possible and thus carry a greater moral and political importance. Drawing on historical and contemporary accounts, this Essay argues that the administration of these essential public goods represents one of the major ways in which law and public policy construct systemic forms of inequality and exclusion. This Essay identifies a set of “exclusionary strategies,” including bureaucratic exclusion, privatization, and fragmentation, through which law constructs such inequality via the maladministration of public goods. Relatedly, this Essay argues that promoting equality and access requires a more inclusionary approach to the administration of these public goods, for example by expanding the authority and accountability of public-goods administrative bodies and by exploring greater forms of direct public provision. Finally, this Essay situates this notion of public goods governance within a larger discussion of equality and democracy.]",JSTOR,SEARCH_041
"Water, Agriculture, and Drought in the West Under Changing Climate and Policy Regimes","FRISVOLD, GEORGE B.",2015,,http://www.jstor.org/stable/24889764,"[ABSTRACT Agriculture is the largest water user in the West, and it will play a central role in balancing water supplies with competing water demands in light of climate change. Water resources that are already over allocated face competing demands from growing urban populations, unresolved tribal water claims, and for maintenance of riparian habitats. While many believe we can meet these demands by reallocating water from agriculture, climate change complicates this calculus. Warmer temperatures and longer droughts will reduce regional water supplies and increase agricultural water demands, making transfers more costly. Hydrological-economic modeling studies suggest agricultural water use will decline, leaving urban use relatively unchanged. Although this agriculture-to-urban reallocation of water is often treated primarily as an engineering problem, many legal and institutional barriers exist to large-scale water transfers. Technological fixes to conserve and transfer agricultural water to other uses will likely fail to facilitate climate adaptation unless changes in water management institutions, policies, and economic incentives accompany those technological fixes.]",JSTOR,SEARCH_041
Drinking Water and Exclusion: A Case Study from California's Central Valley,"Pannu, Camille",2012,,http://www.jstor.org/stable/41346406,"[The American West is notorious for its water wars, and California's complex water allocation and governance challenges serve as a bellwether for contemporary water governance across western states. Policy makers and environmental advocates typically represent California's water woes as a regulatory problem — a failure to balance the needs of growing urban populations with ecological preservation and agricultural irrigation. These debates, however, often elide the issue of water deprivation, and they do not adequately address the concerns of an important constituency: low-income, rural communities. This Comment argues that a focus on regulation misses a fundamental feature of water inequality: the structure and design of local water districts. Utilizing a case study of California's Central Valley to illustrate how these structural barriers operate, I argue that California's complex system of local water districts fractures governance, limits electoral participation, and undermines the State's stated environmental, equity, and utilitarian water goals. I offer suggestions for alternative local water district organization in order to address the constraints of California's current water governance regime.]",JSTOR,SEARCH_041
The Access to Justice Journey: From Violation to Remedy,"Boyle, Katie; Camps, Diana; English, Kirstie Ken; Ferrie, Jo Edson; Flegg, Aidan; Mukherjee, Gaurav",2025,10.2307/jj.15944996.10,http://www.jstor.org/stable/jj.15944996.10,"Access to justice has often been understood in a narrow sense, relating to the most fundamental barriers people face in having a chance to access a legal process such as access to advice, access to legal representation and access to legal aid. While overcoming these barriers is key to enabling people to access justice, the research also revealed that the access to justice journey requires us to take a step back and view it from a much broader perspective. There are significant gaps that require to be addressed across this journey to enable change.  The easiest way of explaining the",JSTOR,SEARCH_041
BEYOND ALL DROUGHT,"Longbottom, Benjamin; Gordon, Aley",2023,,https://www.jstor.org/stable/27427822,"[Although droughts have long plagued the western United States, rapid population growth and climate change are making the American West increasingly water insecure. In some western states, including Arizona, Colorado, and California, decisionmakers are responding to these changes with innovative water conservation-focused land use policies. In other states, however, water and land use policies are lagging decades behind. Improving water security in western cities is an enormous task, requiring extensive social, legal, and policy reform. Additional federal funding for western water security initiatives could do much to drive that reform, but state and local governments should also play a leading role. An important first step in this effort is to better integrate water and land use policy through laws that require greater collaboration among policymakers and involve relevant stakeholders in development decisions. Integrative water and land use policy creates opportunities for policymakers to efficiently promote urban water conservation in a variety of ways, including ensuring land users internalize the water costs of their actions, eliminating obstacles to water-saving land use practices, and better incentivizing household-level water conservation. These strategies, set within a broader framework of integrative planning, could help western communities preserve water supplies, promote sustainable and equitable development, and better prepare the region for the challenging years ahead.]",JSTOR,SEARCH_041
THE COSTS OF RELIGIOUS ACCOMMODATION IN PRISONS,"Stout, Taylor G.",2010,,http://www.jstor.org/stable/20788824,,JSTOR,SEARCH_041
"Some Confusions about Due Process, Judicial Review, and Constitutional Remedies","Fallon, Richard H.",1993,10.2307/1123050,http://www.jstor.org/stable/1123050,,JSTOR,SEARCH_041
RESTORING HEALTH TO HEALTH REFORM: INTEGRATING MEDICINE AND PUBLIC HEALTH TO ADVANCE THE POPULATION'S WELL-BEING,"Gostin, Lawrence O.; Jacobson, Peter D.; Record, Katherine L.; Hardcastle, Lorian E.",2011,,http://www.jstor.org/stable/41307988,,JSTOR,SEARCH_041
"Indeterminacy, Disagreement and the Human Rights Act","Blackwell, Michael",2020,,https://www.jstor.org/stable/48581619,"[This article explores the impact of the Human Rights Act 1998 on the decision making of the House of Lords (UKHL) and the UK Supreme Court (UKSC). How does Convention rights content vary across areas of law in the UKHL/UKSC? Are some judges more likely than others to engage in Convention rights discourse? Is judicial disagreement more common in cases with higher levels of Convention rights discourse? A robust method of answering questions of this nature is developed and applied to decisions of the UKHL/UKSC, showing that the Convention rights content of decisions has varied over time and over substantive areas of law. Higher levels of human rights discourse are associated with greater levels of disagreement. A benchmarked measure of human rights content is developed to show the effect of the particular judge on the human rights content, illustrating the indeterminacy in human rights discourse and how its deployment can be contingent on judicial attitudes.]",JSTOR,SEARCH_041
