Scopus-200-Analyze-Year

"Your query : (TITLE-ABS-KEY( sanitation OR wastewater OR sewerage OR ""sewer connection*"" OR ""water supply"" OR ""piped water"" OR ""municipal water"" OR ""water connection*"" OR ""water service*"" OR ""sanitation service*"" OR WASH ) AND TITLE-ABS-KEY( ""administrative burden"" OR ""administrative barrier*"" OR ""administrative law"" OR ""legal barrier*"" OR eligibility OR ""legal status"" OR ""legal recognition"" OR ""land tenure"" OR ""property title"" OR documentation OR ""building permit*"" OR zoning OR formalization OR formalisation OR regularization OR regularisation OR ""service area*"" OR ""administrative discretion"" OR accommodation OR enforcement OR regulation OR ""regulatory governance"" OR governance OR institutional* OR bureaucratic ) AND TITLE-ABS-KEY( access OR connection OR coverage OR reliability OR affordability OR exclusion OR inclusion OR inequality OR inequity OR ""service delivery"" ))"


Number of results : 200

"YEAR",
"2027","1"
"2026","619"
"2025","583"
"2024","391"
"2023","337"
"2022","326"
"2021","324"
"2020","273"
"2019","254"
"2018","241"
"2017","181"
"2016","194"
"2015","155"
"2014","160"
"2013","160"
"2012","133"
"2011","140"
"2010","108"
"2009","119"
"2008","90"
"2007","63"
"2006","62"
"2005","66"
"2004","56"
"2003","51"
"2002","38"
"2001","26"
"2000","30"
"1999","20"
"1998","20"
"1997","20"
"1996","19"
"1995","11"
"1994","17"
"1993","17"
"1992","15"
"1991","17"
"1990","8"
"1989","7"
"1988","5"
"1987","7"
"1986","10"
"1985","7"
"1984","8"
"1983","8"
"1982","3"
"1981","5"
"1980","1"
"1979","3"
"1978","4"
"1977","5"
"1976","5"
"1975","3"
"1974","5"
"1973","2"
"1972","3"
"1970","2"
"1968","1"
"1962","1"
"1958","1"
"1934","1"
"1933","1"
"1928","1"
