"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Yao Y.; Zhou J.; Jia C.; Su P.; Song Y.","Yao, Yanzhong (57545156500); Zhou, Junru (60362599900); Jia, Changgeng (58236669100); Su, Pinjie (57383594000); Song, Youtao (7404920149)","57545156500; 60362599900; 58236669100; 57383594000; 7404920149","Delineating spatiotemporal variations of coastal ecosystem service value from the ‘past-current-future’ perspective","2026","Anthropocene Coasts","9","1","7","","","0","10.1007/s44218-026-00124-1","https://www.scopus.com/pages/publications/105028956632?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105028956632"
"Asfaw T.D.; Dejen Z.A.; Mekonen S.; Kassegn M.; Melaku A.; Gezahegn K.; Abera Z.","Asfaw, Tilahun Derib (59221697700); Dejen, Zeleke Agide (56646464400); Mekonen, Seblework (55504168700); Kassegn, Mamo (60334893500); Melaku, Abayneh (57428459500); Gezahegn, Kiya (60334035100); Abera, Zelalem (56685770700)","59221697700; 56646464400; 55504168700; 60334893500; 57428459500; 60334035100; 56685770700","Water Utilities Capacity and Governance: Insights into Sustainable Service Improvement","2026","Water Conservation Science and Engineering","11","1","12","","","1","10.1007/s41101-025-00462-0","https://www.scopus.com/pages/publications/105027523038?origin=resultslist","Article","Final","","Scopus","2-s2.0-105027523038"
"Tappeh M.M.B.; Vahedi A.","Tappeh, Mohammad Mirzaie Banafsh (57208672337); Vahedi, Abolfazl (8724148400)","57208672337; 8724148400","Development of an Efficient Corona Discharge Generator Based on Resonant for Water Disinfection Applications","2026","AIP Conference Proceedings","3421","1","030023","","","0","10.1063/5.0339282","https://www.scopus.com/pages/publications/105042998046?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105042998046"
"Sathiskumar S.; Priyanka E.B.; Thangavel S.; Anand A.J.; Bhuvarasudhan T.; Aakash A.","Sathiskumar, S. (58506515000); Priyanka, E.B. (60522775000); Thangavel, S. (56275957300); Anand, A. Jose (57202414907); Bhuvarasudhan, T. (60640287200); Aakash, A. (60640287300)","58506515000; 60522775000; 56275957300; 57202414907; 60640287200; 60640287300","Decentralized Blockchain-Enabled Smart Contracts for Transparent Water Distribution and Sanitation Service Auditing in Rural Communities","2026","Smart Technologies for Sustainable Development Goals: Clean Water and Sanitation","","","","118","133","0","10.1201/9781003714774-8","https://www.scopus.com/pages/publications/105039405587?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-105039405587"
"Tabassum S.; Rahman M.M.","Tabassum, Sumaya (58953230800); Rahman, Md. Mushfiqur (60709167900)","58953230800; 60709167900","Circular economy and nature-based solutions for WASH resilience in Bangladesh’s Hill tracts","2026","Discover Sustainability","7","1","1260","","","0","10.1007/s43621-026-03656-1","https://www.scopus.com/pages/publications/105047049116?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105047049116"
"Anwar N.; Shahzadi K.; Raja M.A.Z.; Ahmad I.; Shoaib M.; Kiani A.K.","Anwar, Nabeela (57189843355); Shahzadi, Kiran (59389983100); Raja, Muhammad Asif Zahoor (36739939800); Ahmad, Iftikhar (55809924800); Shoaib, Muhammad (57213458638); Kiani, Adiqa Kausar (26531252800)","57189843355; 59389983100; 36739939800; 55809924800; 57213458638; 26531252800","Machine intelligent expedition with supervised Bayesian adaptive neural networks for stochastic cholera epidemic model in a periodic environment","2026","Nonlinear Dynamics","114","2","141","","","8","10.1007/s11071-025-12006-1","https://www.scopus.com/pages/publications/105028294820?origin=resultslist","Article","Final","","Scopus","2-s2.0-105028294820"
"Gowtham H.; Gopal J.N.; Swapna S.; Raveendran L.S.; Krishnan S.; Anand A.J.","Gowtham, H. (59398030800); Gopal, J. Nandha (59180104100); Swapna, S. (57196298733); Raveendran, Lekshmi S. (58565639400); Krishnan, Saravanan (60570182000); Anand, A. Jose (57202414907)","59398030800; 59180104100; 57196298733; 58565639400; 60570182000; 57202414907","The Thirst for Governance: Challenges in Water and Sanitation Reforms","2026","Smart Technologies for Sustainable Development Goals: Clean Water and Sanitation","","","","17","35","1","10.1201/9781003714774-2","https://www.scopus.com/pages/publications/105039405342?origin=resultslist","Book chapter","Final","","Scopus","2-s2.0-105039405342"
"Sidlakone S.; Ichiki A.","Sidlakone, Sengsavath (60726241600); Ichiki, Atsushi (7003420026)","60726241600; 7003420026","Fecal sludge management system approach for establishing policy framework in urban areas of Vientiane Capital, Lao PDR","2026","Journal of Water Sanitation and Hygiene for Development","16","6","","497","514","0","10.2166/washdev.2026.251","https://www.scopus.com/pages/publications/105043937417?origin=resultslist","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105043937417"
"Zhang Q.; Gao C.; Ge X.; Sun Y.; Liu P.; Zhang X.-X.","Zhang, Qifeng (57216187157); Gao, Chuanzuo (60508698200); Ge, Xinyue (60508698300); Sun, Yuchen (59388229000); Liu, Peng (57199213290); Zhang, Xu-Xiang (8555121100)","57216187157; 60508698200; 60508698300; 59388229000; 57199213290; 8555121100","Tracking viral variants by wastewater surveillance, from laboratory diagnosis towards on-site monitoring: lessons learned from the SARS-CoV-2 pandemic","2026","Journal of Environmental Management","404","","129353","","","2","10.1016/j.jenvman.2026.129353","https://www.scopus.com/pages/publications/105032922469?origin=resultslist","Review","Final","","Scopus","2-s2.0-105032922469"
"Saifudin T.; Lu'Lu'A N.; Putra M.R.A.; Wardhani V.N.P.; Galena M.V.; Yuniar M.A.D.P.","Saifudin, Toha (55639625400); Lu'Lu'A, Na'Imatul (60544623000); Putra, Mochamad Rasyid Aditya (60544623100); Wardhani, Vrisca Natalia Putri (60543831300); Galena, Marcelena Vicky (60544423400); Yuniar, Muhammad Alvito Dzaky Putra (60543438100)","55639625400; 60544623000; 60544623100; 60543831300; 60544423400; 60543438100","Application of Co-Kriging method to estimate water hardness with secondary variable PH in West Surabaya","2026","AIP Conference Proceedings","3326","1","080014","","","0","10.1063/5.0308887","https://www.scopus.com/pages/publications/105034281302?origin=resultslist","Conference paper","Final","","Scopus","2-s2.0-105034281302"
