"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Yao Y.; Zhou J.; Jia C.; Su P.; Song Y.","Yao, Yanzhong (57545156500); Zhou, Junru (60362599900); Jia, Changgeng (58236669100); Su, Pinjie (57383594000); Song, Youtao (7404920149)","57545156500; 60362599900; 58236669100; 57383594000; 7404920149","Delineating spatiotemporal variations of coastal ecosystem service value from the ‘past-current-future’ perspective","2026","Anthropocene Coasts","9","1","7","","","0","10.1007/s44218-026-00124-1","https://www.scopus.com/pages/publications/105028956632?origin=resultslist","Insufficient understanding of coastal natural resources hinders the efforts to reconcile economic development and ecological protection. The dynamics of ecosystem service value (ESV) needs to be assessed for opening opportunities in understanding the ecological consequences of human activities. This study identifies the spatiotemporal patterns of ESV from the “past-present-future” perspective, coupling hotspot analysis, geo-detector and patch-generating land simulation model into the framework of ESV assessment. Land use resources in Liaoning coastal zone over past two decades that are utilized for wetlands (-31.86%), croplands (-11.38%) and grasslands (-4.76%) decreased to different degrees, whereas built-up lands increased by 100.02%. The magnitude of coastal ESVs is 149.41 billion CNY over past two decades average, and has shown constant fluctuations as a consequence of land use changes. The distribution of ESVs evolved towards greater coverage of cold spots and smaller hot spot areas during 2000–2020 year. Watersheds and wetlands with 13.25% and 3.77% of total area contribute 70.37% and 8.29% of total ESVs, respectively, especially in water supply, hydrological regulation, and biodiversity. Compared to 2020 year, the value of ESVs in 2050 year increased to 212.72 and 311.48 billion CNY for economic and ecological (maximize ecosystem service/ecological capacity) scenarios, respectively, whereas decreased to 89.14 billion CNY for baseline scenario. Intense human activities are going to reshape the patterns of ESV generated from coastal natural resources. These findings provide timely and precisely evidence for balancing ecological protection and economic development in the context of Liaoning coastal construction from now on. © The Author(s) 2026.","Driving factors; Ecosystem service value; Land use changes; Liaoning coastal zone; Multi-scenarios simulation","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105028956632"
"Asfaw T.D.; Dejen Z.A.; Mekonen S.; Kassegn M.; Melaku A.; Gezahegn K.; Abera Z.","Asfaw, Tilahun Derib (59221697700); Dejen, Zeleke Agide (56646464400); Mekonen, Seblework (55504168700); Kassegn, Mamo (60334893500); Melaku, Abayneh (57428459500); Gezahegn, Kiya (60334035100); Abera, Zelalem (56685770700)","59221697700; 56646464400; 55504168700; 60334893500; 57428459500; 60334035100; 56685770700","Water Utilities Capacity and Governance: Insights into Sustainable Service Improvement","2026","Water Conservation Science and Engineering","11","1","12","","","1","10.1007/s41101-025-00462-0","https://www.scopus.com/pages/publications/105027523038?origin=resultslist","Ethiopia is experiencing rapid urbanization, with an annual growth rate of about 4%. This growth places immense strain on urban water supply systems. This study investigates the capacity, governance, and operational difficulties encountered by 16 urban water utilities across various Ethiopian towns and cities. To achieve this, a mixed methods approach was employed, including 629 structured surveys, 70 key informant interviews, 25 focus group discussions, and 88 site observations. The data was analyzed using a combination of descriptive statistics and thematic evaluation to identify common trends and challenges. Key findings revealed that while piped water coverage in urban slum areas averages 88.2%, service reliability remains poor. All utilities faced water supply interruptions, primarily due to limited water availability, weak management, and aging infrastructure. Furthermore, 13 out of 16 utilities conducted regular water quality testing, and a mere 11 utilities have implemented pro-poor policies, which predominantly focus on subsidizing initial connection fees. Financial limitations, insufficient technical capacity, and inadequate coordination among stakeholders further hinder effective service delivery. The challenges are compounded by rapid population growth, the proliferation of informal settlements, and pollution from both industrial and domestic sources, all of which contribute to urban water stress. Improving the performance water utilities requires targeted investment in infrastructure, enhanced technical and managerial capacity, and strengthened institutional accountability. Expanding the use of digital monitoring tools, enforcing regulatory standards, and prioritizing marginalized urban communities are essential steps toward achieving equitable and sustainable water supply services in urban Ethiopia. © The Author(s), under exclusive licence to Springer Nature Singapore Pte Ltd. 2026.","Ethiopian cities; Marginalized communities; Pro-poor policy; Urban water supply; Utility governance","Ethiopia; Economic and social effects; Investments; Public policy; Sustainable development; Urban growth; Water supply; Water supply systems; Ethiopia; Ethiopian city; Marginalized community; Pro-poor policy; Sustainable services; Technical capacity; Urban water supply; Urban waters; Utility governance; Water utility; informal settlement; policy implementation; population growth; service quality; stakeholder; subsidy system; urban pollution; urban service; water availability; water demand; water industry; water management; water pollution; water quality; water supply; Population statistics","Article","Final","","Scopus","2-s2.0-105027523038"
"Tabassum S.; Rahman M.M.","Tabassum, Sumaya (58953230800); Rahman, Md. Mushfiqur (60709167900)","58953230800; 60709167900","Circular economy and nature-based solutions for WASH resilience in Bangladesh’s Hill tracts","2026","Discover Sustainability","7","1","1260","","","0","10.1007/s43621-026-03656-1","https://www.scopus.com/pages/publications/105047049116?origin=resultslist","Climate change is one of the pressing issues in Bangladesh, a developing country in South Asia. Reliable access to safe water and adequate sanitation remains a critical challenge for indigenous communities in this country’s southern part, i.e., Chittagong Hill Tracts (CHT), where steep terrain and seasonal climate shocks intensify fetching burdens and health risks. They are mostly dependent on natural resources to meet their basic needs. A few studies are addressing their Water, Sanitation, and Hygiene (WASH) condition and climate vulnerability, as well as nature-based solutions with a focus on the circular economy. With that view, a cross-sectional survey was conducted on 81 households across four Chakma, Tripura, and Bangali settlements. Evaluating the perception and effect of climate change on the underprivileged people of CHT revealed a bitter truth. Farmers are leaving paddy production to minimize water use in agriculture and investing money with high interest to afford the initial cost of Tobacco cultivation. Consequently, food scarcity and financial burden make their lives more difficult, with prevailing water, sanitation, and flood problems. Descriptive analyses revealed average round-trip fetching times of 7.8 min for drinking water and 19.4 min for domestic water, and 60% of households experience seasonal or chronic scarcity. One-way ANOVA and multiple regression showed that each additional 100 m distance to a water source increases domestic-fetching time by 3.1 min (p < 0.001), while higher climate-shock indices add 1.8 min (p = 0.003). Principal Component Analysis (PCA) and cluster analyses identified a high-burden profile encompassing one-third of households. These findings urge targeted WASH investments and align with SDG 6 and climate-resilience goals. Therefore, this study concluded by incorporating a circular economy to strengthen governance and financial systems through nature-based solutions. Integrating proper health, sanitation, and technological knowledge with interest-free investment in the communities can be a sustainable solution. © The Author(s) 2026.","Circular economy; Governance and financial system; Nature-based solutions; Underserved communities; WASH","Bangladesh; Chittagong Hill Tracts; Chittagong [Bangladesh]; agricultural change; agricultural finance; circular economy; climate change; cluster analysis; developing world; drinking water; financial system; indigenous population; perception; principal component analysis; sanitation; Sustainable Development Goal; tobacco; water supply; water use","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105047049116"
"Sidlakone S.; Ichiki A.","Sidlakone, Sengsavath (60726241600); Ichiki, Atsushi (7003420026)","60726241600; 7003420026","Fecal sludge management system approach for establishing policy framework in urban areas of Vientiane Capital, Lao PDR","2026","Journal of Water Sanitation and Hygiene for Development","16","6","","497","514","0","10.2166/washdev.2026.251","https://www.scopus.com/pages/publications/105043937417?origin=resultslist","Rapid urbanization in Vientiane Capital, Lao PDR, overwhelms sanitation infrastructure, with 80% reliance on on-site systems, 1.4% centralized sewerage coverage, only 20% fecal sludge (FS) treated, and 64% of households never desludged, posing severe public health and water quality risks. This study developed a scenario-based policy framework targeting Sanitation Vision 2035 goals (100% coverage, 50% FS treatment/transport, and 50% resource recovery) through data management, regulatory enforcement, technical standards, urban planning, and community engagement. Mixed methods across four central districts (population 380,197) included 230 stratified random household surveys, 12 semistructured stakeholder interviews, wastewater effluent analyses (n = 56), and secondary data. Empirical findings revealed irregular desludging (36% never desludged or blockage-driven), unsafe wastewater disposal (45% to public drains), effluent non-compliance (biochemical oxygen demand (BOD5) 72–147 mg/L exceeding 30 mg/L standard), and citywide BOD5 pollution loads of 19,010 kg/day. The governance gaps include institutional overlaps and insufficient regulatory enforcement. This proposed framework models a potential increase in FS treatment from 20 to 50% by 2035 through multisectoral interventions (centralized databases, operator licensing with penalties, certification standards, and fee incentives), offering a replicable approach to sustainable urban sanitation. © 2026 The Authors.","fecal sludge; Lao PDR; sanitation chain; scenario framework planning; urban sanitation policy; Vientiane","Laos; Vientiane; Effluents; Health risks; Information management; Population statistics; Public health; Public policy; Public risks; Regulatory compliance; Sanitation; Sewers; Sludge disposal; Urban growth; Wastewater treatment; Faecal sludge; Lao PDR; Policy framework; Sanitation chain; Scenario framework planning; Sludge management; Sludge treatment; Urban sanitation policy; Urban sanitations; Vientiane; effluent; fecal coliform; policy making; sanitation; sludge; urban planning; waste management; Wastewater disposal","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105043937417"
"Teotônio R.S.; Lessa B.D.S.; Maia A.B.G.R.; Lima A.C.; Sousa-Filho J.M.D.","Teotônio, Raquel Soares (58623871000); Lessa, Bruno de Souza (57193504969); Maia, Anna Beatriz Grangeiro Ribeiro (59250517800); Lima, Afonso Carneiro (55581664200); Sousa-Filho, José Milton de (58313733500)","58623871000; 57193504969; 59250517800; 55581664200; 58313733500","Gender diversity maturity in the top management of Brazilian state-owned sanitation companies","2026","Gender in Management","","","","1","19","0","10.1108/GM-10-2025-0631","https://www.scopus.com/pages/publications/105039911413?origin=resultslist","Purpose – Guided by the Theory of Gendered Organizations and concepts of institutional isomorphism, this study aims to the maturity of gender diversity in the top management of Brazilian state-owned, publicly traded sanitation companies. Design/methodology/approach – A qualitative, documentary approach analyzed corporate reports from seven sanitation companies between 2022 and 2024. A seven-indicator maturity model, grounded in literature on symbolic versus substantive representation, was developed to assess the gap between policy adoption and outcomes. Findings – The findings reveal a variance in maturity, with some companies achieving “Mature” status on policy adoption while female representation remains low (averaging 20%). This exposes a significant gap between symbolic commitment and substantive change. The results suggest that embedded gendered structures and informal mechanisms like homophily persist, rendering formal policies insufficient on their own to dismantle the glass ceiling. Research limitations/implications – Reliance on documentary data may not capture informal practices influencing gender equality. Practical implications – The study provides a replicable framework for diversity maturity and highlights the need to move beyond policy adoption toward implementing accountability mechanisms that address informal barriers and link diversity goals to performance. Social implications – By demonstrating the persistence of inequality in a sector vital for public health, it underscores the need for stronger governance to advance social justice and democratic representation in public services. Originality/value – This research contributes by providing a critical analysis of diversity maturity in the context of Latin American public utilities. It refines the application of maturity models to expose the symbolic-substantive gap and advances theoretical understanding of why gendered organizations are resistant to change. © 2026 Emerald Publishing Limited","Brazil; Gender diversity; Sanitation companies; State-owned enterprises; Women in leadership","","Article","Article in press","","Scopus","2-s2.0-105039911413"
"Zhang Q.; Gao C.; Ge X.; Sun Y.; Liu P.; Zhang X.-X.","Zhang, Qifeng (57216187157); Gao, Chuanzuo (60508698200); Ge, Xinyue (60508698300); Sun, Yuchen (59388229000); Liu, Peng (57199213290); Zhang, Xu-Xiang (8555121100)","57216187157; 60508698200; 60508698300; 59388229000; 57199213290; 8555121100","Tracking viral variants by wastewater surveillance, from laboratory diagnosis towards on-site monitoring: lessons learned from the SARS-CoV-2 pandemic","2026","Journal of Environmental Management","404","","129353","","","2","10.1016/j.jenvman.2026.129353","https://www.scopus.com/pages/publications/105032922469?origin=resultslist","Wastewater-based epidemiology (WBE) provides a scalable, population-level biosurveillance layer that complements clinical testing for monitoring SARS-CoV-2 circulation, particularly when diagnostic participation, access, or representativeness is limited. As SARS-CoV-2 continues to evolve, wastewater surveillance has expanded beyond quantifying total viral RNA to also resolving signature mutations and mixed lineage compositions in complex matrices. This review synthesizes end-to-end workflows for variants-directed WBE, spanning sample collection and viral signal enrichment, sequencing-dependent approaches (tiled-amplicon and hybrid-capture sequencing coupled with lineage deconvolution of mixed samples), and sequencing-independent approaches based on targeted mutation detection, including RT-dPCR, allele-specific RT-qPCR, and nested-PCR coupled with LC–MS. We compare these modalities in terms of resolution, sensitivity, turnaround time, and operational constraints, and highlight recurrent bottlenecks such as uneven genome coverage, low-frequency mutation detection, primer/assay drift, and the need for robust quality control and benchmarking under real wastewater conditions. To reduce end-to-end latency and improve sustainability, we outline requirements and research priorities for integrated, automated on-site (or near-site) monitoring systems, emphasizing compact enrichment/extraction modules, field-deployable detection chemistries, and rapid reporting pipelines. Finally, we extend the COVID-era framework beyond SARS-CoV-2, discussing how wastewater and environmental surveillance can be institutionalized as a multi-hazard public health intelligence platform supporting multiplex respiratory panels, pathogen-agnostic sequencing for anomaly detection, mobility-linked sentinel networks, and One Health applications such as antimicrobial resistance monitoring. © 2026 Elsevier Ltd","On-site monitoring; RT-qPCR; SARS-CoV-2 variants; Sequencing; Wastewater surveillance; Wastewater-based epidemiology","COVID-19; Humans; Mutation; Pandemics; SARS-CoV-2; Wastewater; Wastewater-Based Epidemiological Monitoring; Anomaly detection; Chemical detection; Diagnosis; Epidemiology; Health hazards; Patient monitoring; virus RNA; Mutation detection; On-site monitoring; Population levels; RT-qPCR; SARS-CoV-2 variant; Sequencing; Site monitoring; Viral variants; Wastewater surveillance; Wastewater-based epidemiology; deconvolution; epidemiology; genome; laboratory method; monitoring system; mutation; pandemic; public health; quality control; RNA; severe acute respiratory syndrome; wastewater treatment; Agnostic; allele; amplicon; antibiotic resistance; benchmarking; biosurveillance; coronavirus disease 2019; deconvolution; diagnosis; environmental monitoring; environmental surveillance; human; laboratory diagnosis; liquid chromatography-mass spectrometry; mutation rate; nested polymerase chain reaction; nonhuman; outlier detection; quality control; real time polymerase chain reaction; review; Severe acute respiratory syndrome coronavirus 2; turnaround time; virus strain; wastewater; wastewater-based epidemiology; epidemiology; genetics; isolation and purification; mutation; pandemic; virology; wastewater; Turnaround time","Review","Final","","Scopus","2-s2.0-105032922469"
"Lv J.; Zhang Y.; Wang Y.; Wang Z.; Sun D.; Ma H.; Zhang X.","Lv, Jiaojiao (59655692100); Zhang, Yu (57226371195); Wang, Yifan (60649709000); Wang, Zhihui (60650666500); Sun, Dongyong (44261801900); Ma, Huan (58735548200); Zhang, Xuedi (44261713900)","59655692100; 57226371195; 60649709000; 60650666500; 44261801900; 58735548200; 44261713900","Watershed Water Supply Security Reliability Assessment and Risk Node Identification in Mountain Piedmont Transition Zones Under Extreme Drought Stress: A Case Study from the Feng River Basin","2026","Water (Switzerland)","18","10","1121","","","0","10.3390/w18101121","https://www.scopus.com/pages/publications/105040066616?origin=resultslist","During severe drought conditions, water supply risks tend to be concentrated at critical water intake nodes and vulnerable river segments, while the conventional total balance method is inadequate for depicting the spatial evolution of these risks. This study developed a node-based water supply security assessment framework for the Feng River Basin, a representative watershed in the piedmont transition zone. The framework coupled SWAT-simulated runoff with a supply–demand balance model and evaluated water supply reliability at both the node and basin scales. Two scenarios were compared: an artificial water system scenario and an artificial water system with an engineering-based water resource allocation scenario. Dry (P = 75%) and extremely dry (P = 95%) conditions were considered to examine the performance of artificial regulation under drought stress. The results showed that basin-scale water supply reliability remained relatively stable, ranging from 0.833 to 0.853 under different scenarios. However, the node-scale results revealed strong spatial heterogeneity. Nodes 1 and 3 maintained full or nearly full reliability, whereas Nodes 4, 6, and 7 showed relatively low reliability and higher water shortage risk. Under the P = 75% scenario, engineering-based water resource allocation increased basin-scale reliability from 0.848 to 0.853, indicating a slight improvement in supply–demand balance. In contrast, under the P = 95% scenario, reliability decreased from 0.839 to 0.833 after introducing water resource allocation, suggesting that transfer-based interventions may have limited effectiveness when natural inflow is severely reduced. In particular, Node 7 showed a marked decline in reliability under the allocation scenario, indicating that water supply risks may be redistributed and concentrated at specific intake nodes under extreme drought conditions. The scenario comparison further indicates that water diversion strategies may produce a dual effect of local improvement and global reconfiguration. Insufficient supply intensity may result in engineering interventions that cause downstream water reduction impacts, leading to a spatial redistribution and shifting of risks rather than their systemic eradication. This study seeks to transition the evaluation paradigm from “total safety” to “node safety,” establishing a scientific foundation for enhancing the emergency response system in critical areas of the basin. © 2026 by the authors.","extreme drought; Feng River Basin; node risk identification; piedmont transition zone; water supply security","China; Feng River; Shaanxi; Economics; Reliability; Resource allocation; Risk assessment; Risk perception; Rivers; Safety engineering; Watersheds; Waterworks; Basin scale; Extreme drought; Feng river basin; Node risk identification; Piedmont transition zone; Risk Identification; River basins; Supply security; Transition zones; Water supply security; drought; inflow; piedmont; resource allocation; transition zone; water resource; water supply; watershed; Drought; Water supply","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105040066616"
"Singh S.R.; Blanco-Arévalo A.; Gupta A.; Chee J.Y.; Aligui A.A.A.F.; Hor S.W.; Shou Y.; Saravanan R.; Leong J.; Charani E.; Mo Y.","Singh, Shweta R. (57195055756); Blanco-Arévalo, Alejandro (57226504582); Gupta, Atharvi (60200064100); Chee, Jia Yi (59383448800); Aligui, Alec Ann Alissa F. (58723413100); Hor, Stanton Winter (60216831000); Shou, Yiyun (57217845994); Saravanan, Rathi (57196616740); Leong, James (55754713000); Charani, Esmita (57208140595); Mo, Yin (57191850214)","57195055756; 57226504582; 60200064100; 59383448800; 58723413100; 60216831000; 57217845994; 57196616740; 55754713000; 57208140595; 57191850214","Barriers to accessing newer antibiotics in countries with high burden of bacterial antimicrobial resistant infections—a qualitative study","2026","The Lancet Regional Health - Western Pacific","72","","101917","","","1","10.1016/j.lanwpc.2026.101917","https://www.scopus.com/pages/publications/105044721021?origin=resultslist","Background: Bacterial antimicrobial resistant (AMR) infections pose a significant health threat. Newer antibiotics designed to treat resistant pathogens may offer superior efficacy and fewer side effects compared to older alternatives. However, access to newer antibiotics remains limited in high AMR burden Asian countries. We aimed to explore stakeholder perspectives on barriers and potential solutions to improving access to newer antibiotics across Asia. Methods: We conducted a qualitative study using semi-structured interviews with stakeholders across Asia between April 2024 and April 2025. Stakeholder groups included in-depth, multi-stakeholder interviews with Asian policymakers, drug regulators, healthcare professionals, pharmaceutical companies, global health actors, health technology assessors, and patient advocacy groups. We employed maximum variation sampling to understand participants’ unique perspectives on antibiotic access challenges. Interviews were audio-recorded, transcribed verbatim, and analysed using a seven-stage framework analysis. Findings: We interviewed 40 of 79 (50.6%) invited participants from Cambodia, China, India, Indonesia, Japan, Malaysia, Singapore, Sri Lanka and Thailand. Findings revealed a cascading set of barriers which highlighted deeper structural and political fractures in regional health governance. Firstly, misaligned mindsets were shaped by differing perceptions of AMR urgency between high and low-income countries causing fragmented implementation of solution strategies. These divergent perspectives influenced disjointed and short-term interventions, including reliance on inefficient workaround access mechanisms, and lack of sustained antibiotic stewardship and infection prevention and control policies. Third, systemic underinvestment in infrastructure, clinical trial capacity, regulatory processes, and market-shaping mechanisms further constrained access. Finally, in the absence of coordinated leadership, responsibilities remained siloed across stakeholders, with global health actors unable to fill the governance and accountability gap. Interpretation: Equitable access to newer antibiotics relies on commitments to strengthening health systems’ infrastructure and facilitating coherent evidence generation. Improved coordination among key stakeholders including government-private-global health actor partnerships, regulatory harmonisation and pooled procurement could significantly alleviate immediate challenges. Funding: This work was supported by the British Academy, National Medical Research Council (NMRC) Singapore and The Good Clinical Trials Collaborative (GCTC). © 2026 The Authors. Published by Elsevier Ltd. This is an open access article under the CC BY license. http://creativecommons.org/licenses/by/4.0/","AMR; Antibiotic access; Equitable access; Stakeholder interviews","avibactam plus ceftazidime; aztreonam; cefiderocol; ceftolozane plus tazobactam; colistin; eravacycline; polymyxin B; access to medication; analysis protocol; antibiotic resistance; antibiotic sensitivity; antimicrobial stewardship; Article; automatic speech recognition; biomedical technology assessment; carbapenem resistance; carbapenem-resistant Enterobacteriaceae; clinical trial (topic); consultation; economic incentive; Enterobacteriaceae infection; environmental sanitation; governance infrastructure; Gram negative infection; health care personnel; health care system; health infrastructure; hospital purchasing; human; infection control; Klebsiella infection; laboratory; language; multidrug resistant bacterium; multidrug resistant infection; nephrotoxicity; neurotoxicity; patent; practice guideline; prescription; prevention and control; Pseudomonas infection; qualitative research; regulatory mechanism; sampling; sanitation; semi structured interview; thematic analysis; uncertainty; web conferencing","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105044721021"
"Khiali V.; Vitorino H.; Rodrigues H.","Khiali, Vahid (58407328900); Vitorino, Hugo (57211333918); Rodrigues, Hugo (57220807327)","58407328900; 57211333918; 57220807327","Post-earthquake fire preparedness and operational challenges in Portuguese fire services: Evidence from a questionnaire-based survey","2026","International Journal of Disaster Risk Reduction","144","","106391","","","0","10.1016/j.ijdrr.2026.106391","https://www.scopus.com/pages/publications/105048544293?origin=resultslist","Post-Earthquake Fire (PEF) is a significant cascading hazard that can severely affect emergency-response operations, particularly when infrastructure damage, water-supply failures, communication disruptions, and limited accessibility disrupt firefighting capacity. Despite the seismic risk affecting several regions of Portugal, limited attention has been given to the operational preparedness of Portuguese fire services for PEF scenarios. This study investigates preparedness conditions, operational expectations, and perceived challenges associated with PEF response through a questionnaire-based survey focused on Portugal. A structured questionnaire was distributed to Portuguese fire-service organizations to examine multiple operational dimensions associated with PEF preparedness, including fire station conditions, seismic-risk perception, preparedness activities, water-supply reliability, institutional coordination, communication continuity, and operational-response capacity. A total of 56 valid responses from Portuguese fire-service organizations were analyzed using descriptive statistical methods. The results identified several important preparedness gaps across different operational dimensions. Many respondents reported limited knowledge regarding the seismic vulnerability of their facilities, while earthquake-specific training and practical preparedness activities were found to be relatively limited. Concerns related to hydrant-network disruption, communication-system failure, restricted accessibility, limited alternative water-supply capacity, and simultaneous fire-response capability following major seismic events were also commonly identified. The findings further suggest that several operational vulnerabilities may reinforce one another during PEF scenarios, particularly under conditions involving infrastructure disruption, communication difficulties, and increased emergency demand. This study provides the first empirical assessments focused specifically on PEF preparedness within Portuguese fire services. The findings contribute to a better understanding of operational challenges associated with PEF scenarios and may support future preparedness planning, infrastructure-resilience initiatives, interagency coordination strategies, and emergency-management policies aimed at improving firefighting capability during large-scale seismic emergencies. © 2026 The Authors.","Fire-service response; Institutional coordination; Operational preparedness; Portugal; Post-earthquake fire (PEF); Water-supply reliability","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105048544293"
"Johnson R.; Shank S.E.; Aaltonen P.M.; Blatchley E.R., III; Payne L.; Simpson V.; Bhadelia A.","Johnson, Rebecca (60681142600); Shank, Sophie E (58981392400); Aaltonen, Pamela M (7003820464); Blatchley, Ernest R (7004623927); Payne, Lindsey (55337010800); Simpson, Vicki (36657739800); Bhadelia, Afsan (8295773300)","60681142600; 58981392400; 7003820464; 7004623927; 55337010800; 36657739800; 8295773300","Barriers and facilitators to the utilisation of point-of-use water treatment systems during and immediately following flood-related disasters: a scoping review protocol","2026","BMJ Open ","16","6","e115870","","","0","10.1136/bmjopen-2025-115870","https://www.scopus.com/pages/publications/105041173500?origin=resultslist","Introduction: The United Nations (UN) Sustainable Development Goal 6 seeks to ensure universal access to safe drinking water by 2030, but vast inequities in access exist, especially among vulnerable communities including limited resource, rural, disaster-affected areas. Flood disasters, exacerbated by the climate crisis, hinder the ability of individuals and families to meet essential drinking water needs and increase their susceptibility to waterborne illnesses. Point-of-use (POU) water treatment is an effective solution for water-insecure populations during and immediately following flood emergencies. However, an initial literature search identified knowledge gaps surrounding implementation of POU water systems. This scoping review aims to synthesise published evidence between January 2015 and July 2025 on barriers and facilitators to utilisation of POU water treatment systems during and immediately following flood-related disasters. The findings will inform efforts to promote resilience and agency among water insecure communities, specifically by equipping them with actionable knowledge on sustainable access to safe drinking water. Methods and analysis: This scoping review will be guided by the work of Arksey and O’Malley and the Preferred Reporting Items for Systematic Reviews and Meta-Analyses Extension for Scoping Reviews. Search terms will be identified through an iterative process using the PICOT method and Boolean logic. Four databases—Scopus, PubMed, Web of Science and Google Scholar—with the addition of grey literature from UN agencies and non-governmental organisations focused on water-related issues will be searched. Two independent reviewers will apply a priori eligibility criteria to select studies. Conflicts will be resolved through discussion and a third independent reviewer absent agreement between the first two reviewers. Cohen’s kappa statistic will be calculated to assess inter-rater reliability. Data extraction will be guided by predefined data points, and the Consolidated Framework for Implementation Research will guide evidence synthesis through a solution-based approach. Ethics and dissemination: Institutional research ethics review is not required because no human subjects are involved. Findings will be disseminated through a peer-reviewed publication, a policy brief, conference presentations and infographics for use by organisations serving flood disaster impacted communities. © Author(s) (or their employer(s)) 2026. Re-use permitted under CC BY-NC. No commercial re-use. See rights and permissions. Published by BMJ Group. This is an open access article distributed in accordance with the Creative Commons Attribution Non Commercial (CC BY-NC 4.0) license, which permits others to distribute, remix, adapt, build upon this work non-commercially, and license their derivative works on different terms, provided the original work is properly cited, appropriate credit is given, any changes made indicated, and the use is non-commercial. See: https://creativecommons.org/licenses/by-nc/4.0/.","Gastrointestinal infections; Implementation Science; PUBLIC HEALTH; Public health","Disasters; Drinking Water; Floods; Humans; Research Design; Scoping Reviews as Topic; Water Purification; Water Supply; drinking water; drinking water; Article; conceptual framework; Consolidated Framework for Implementation Research; data processing; disaster; disaster preparedness; disaster response; eligibility criteria; environmental engineering; flooding; human; humanitarian aid; interrater reliability; low income country; middle income country; nursing; point of use water treatment system; practice guideline; public health; sustainable development goal; water supply; water treatment; methodology; procedures; scoping review (topic); water management; water supply","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105041173500"
