"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Mehraeen E.; Salehi M.A.; Behnezhad F.; Moghad-Dam H.R.; Seyedalinaghi S.","Mehraeen, Esmaeil (56770172400); Salehi, Mohammad Amin (58491438300); Behnezhad, Farzane (57217170555); Moghad-Dam, Hamed Rezakhani (57200597877); Seyedalinaghi, Seyedahmad (26647754800)","56770172400; 58491438300; 57217170555; 57200597877; 26647754800","Transmission modes of covid-19: A systematic review","2021","Infectious Disorders - Drug Targets","21","6","e170721187995","","","74","10.2174/1871526520666201116095934","https://www.scopus.com/pages/publications/85117331956?origin=resultslist","Background: The Coronavirus disease 2019 (COVID-19) is a highly contagious viral infection that was initiated in Wuhan, China, and has spread around the world. The high prevalence and rapid transmission between individuals of COVID-19 have become an international challenge that requires careful consideration. We aimed to review the current evidence of COVID-19 transmission modes. Methods: This study was a systematic review performed to identify current evidence of COVID-19 transmission modes. We searched selected keywords in six key databases to discover sources relevant to the main objective of the study. To identify studies meeting the inclusion criteria, the authors screened the titles and abstracts of the retrieved documents. The appropriate articles were then selected and their results were discussed to make the final inclusion. Results: We identified five potential transmission modes of COVID-19, including airborne, dro-plet, contact with contaminated surfaces, oral and fecal secretions. Furthermore, some studies have pointed out other modes of virus transmission, such as person to person, and direct contact with ani-mals. Conclusion: Droplet and contact with contaminated surfaces are the most frequent transmission modes of COVID-19. However, fecal excretion, environmental contamination, and fluid pollution may also contribute to viral transmission. The possibility of fecal transmission in COVID-19 has implications, especially in areas that are poorly hygienic. Environmental pollution can be caused by patients with SARS-CoV-2 through respiratory droplets and feces. Consequently, the human environment will become a potential medium of virus transmission. © 2021 Bentham Science Publishers.","ACE2; Coronavirus; COVID-19; SARS-CoV-2 infection; Spread; Transmission","plastic; aerosol generating procedure; airborne transmission; bodily secretions; bronchoscopy; clinical trial (topic); coronavirus disease 2019; coughing; disease transmission; documentation; droplet transmission; endotracheal intubation; health center; human; pollution; positive pressure ventilation; prevalence; resuscitation; Review; sanitation; sneezing; systematic review; tracheostomy; viral contamination; virus transmission","Review","Final","","Scopus","2-s2.0-85117331956"
"Dery F.; Bisung E.; Dickin S.; Atengdem J.","Dery, Florence (57216500799); Bisung, Elijah (56115681800); Dickin, Sarah (55681595000); Atengdem, Jeremiah (57302843100)","57216500799; 56115681800; 55681595000; 57302843100","‘They will listen to women who speak but it ends there’: examining empowerment in the context of water and sanitation interventions in Ghana","2021","H2Open Journal","4","1","","231","243","8","10.2166/h2oj.2021.100","https://www.scopus.com/pages/publications/85117458003?origin=resultslist","Gender plays a vital role in shaping access to and governance of water, sanitation, and hygiene (WASH) services in many contexts. Notably, women and men have different WASH-associated roles as well as varying access to resources and power. This study explores the meanings of women’s empowerment in the WASH sector from the perspective of local stakeholders in the Asutifi North District, Ghana. A qualitative approach was employed, which involved 15 key informant interviews with community leaders, local government professionals, and WASH practitioners. Participants conceptualized empowerment in terms of four major themes: (1) availability of resources, (2) WASH information, (3) social and cultural structures, and (4) agency. Participants defined empowerment as a multifaceted process shaped by their physical, social, cultural, and political environments. The study provides researchers and practitioners with a greater understanding of the dimensions of empowerment that are relevant to strengthening WASH interventions and practices. © 2021 The Authors","Empowerment; Equality; Gender; Qualitative approach; Water security","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85117458003"
"Prasad M.; Zaloznaya M.","Prasad, Monica (36924171700); Zaloznaya, Marina (54397904800)","36924171700; 54397904800","Bureaucratic quality and social development","2021","Sociology of Development","7","3","","231","252","6","10.1525/sod.2019.0023","https://www.scopus.com/pages/publications/85117892749?origin=resultslist","Although a long tradition of research shows that the correlation between economic growth and well-being is imperfect, the sociology of development continues to focus on economic growth. In this paper we take a first step toward a sociology of social development by defining which indicators other than economic growth best capture different facets of citizen well-being, theorizing what social phenomena explain the variance in these indicators, and specifying causal mechanisms that connect the two. We show quantitatively that one main predictor of social development is basic sanitation, and that a key correlate of poor sanitation is corruption in law enforcement. We use direct measures of experiences with corruption, rather than subjective measures of perceptions of corruption. We then draw on qualitative data to suggest why and how corruption in the judiciary enables poor sanitation. Where the state does not efficiently deliver municipal services, intermediaries facilitate illegal access to services, and can only perform their work if law enforcement can be bribed. But by providing access to some citizens and not all, these intermediaries fragment citizens' interests. Politics develops around lines of patronage rather than programmatic policies, and those who do not have the material resources to bypass the poor municipal systems, or the political resources to participate in patronage, are left without access to basic sanitation. © 2021 by the Regents of the University of California. All rights reserved.","Bureaucracy; Corruption; Governance; Sanitation; Social development","","Article","Final","","Scopus","2-s2.0-85117892749"
"Aliyev O.","Aliyev, Orkhan (59421632600)","59421632600","Economic resilience in water supply service in rural Tajikistan: A case study from Oxfam","2021","Resilience of Water Supply in Practice: Experiences from the Frontline","","","","161","184","0","10.2166/9781789061628_0161","https://www.scopus.com/pages/publications/85209961499?origin=resultslist","The water utilities established by the Tajikistan Water Supply and Sanitation (TajWSS) project, which is funded by Swiss Agency for Development and Cooperation and led by Oxfam in Tajikistan in collaboration with Government of Tajikistan focussed mainly on decentralization of drinking water services and ownership of the water supply assets by local governance bodies. However, owing to the increasing demand for water and pressures on water resources as a result of climatic variability, water utilities in rural areas are facing financial, operational and environmental challenges which prevent them from responding adequately. These challenges require highly resilient considerations in the design, construction and management of water supply and sanitation facilities and access to financial resources to overcome unforeseen risks. Oxfam's experience in Tajikistan shows that a community's socio-economic status and water utilities' business operations were key factors for building the resilience of water and sanitation (WS) systems in rural areas. In this paper, the approach in building WS systems that are highly resilient to disasters or risks in rural areas is investigated along with how different factors such as demand and supply, institutional capacity, access to finance and community ownership affect the sustainability of WS services. © 2021 The Editors. All rights reserved.","Economic resilience; Sanitation and hygiene promotion (WASH); Water supply; Water utilities; WS system","","Book chapter","Final","","Scopus","2-s2.0-85209961499"
"Bruno D.; Sorando R.; Álvarez-Farizo B.; Castellano C.; Céspedes V.; Gallardo B.; Jiménez J.J.; López M.V.; López-Flores R.; Moret-Fernández D.; Navarro E.; Picazo F.; Sevilla-Callejo M.; Tormo J.; Vidal-Macua J.J.; Nicolau J.M.; Comín F.A.","Bruno, Daniel (56303122800); Sorando, Ricardo (13408094800); Álvarez-Farizo, Begoña (6506098810); Castellano, Clara (57202923376); Céspedes, Vanessa (55507238300); Gallardo, Belinda (23484869300); Jiménez, Juan J. (56508521000); López, M. Victoria (33767894100); López-Flores, Rocío (9234964800); Moret-Fernández, David (24450524600); Navarro, Enrique (55796676700); Picazo, Félix (30767671200); Sevilla-Callejo, Miguel (35975272000); Tormo, Jaume (16069458700); Vidal-Macua, Juan José (57190741520); Nicolau, José Manuel (7006427993); Comín, Francisco A. (14040023200)","56303122800; 13408094800; 6506098810; 57202923376; 55507238300; 23484869300; 56508521000; 33767894100; 9234964800; 24450524600; 55796676700; 30767671200; 35975272000; 16069458700; 57190741520; 7006427993; 14040023200","Depopulation impacts on ecosystem services in Mediterranean rural areas","2021","Ecosystem Services","52","","101369","","","74","10.1016/j.ecoser.2021.101369","https://www.scopus.com/pages/publications/85116608229?origin=resultslist","Despite the exponential increase in human population at global scale, some rural areas have experienced a progressive abandonment over the last decades. Under particular socioecological and policy contexts, changes in demography may promote land-use changes and, consequently, alter ecosystem services (ES) supply. However, most studies on this topic have targeted urban population increase, whereas depopulation has been rarely addressed. Here, we examined how shifts in demographic variables (human population, population density, and number of villages) affect provisioning (water supply, food and biomass production) and regulating (soil retention, water and nutrient regulation) ES in Mediterranean rural areas with contrasting environmental, socioeconomic and land-use contexts. When depopulation results in underuse of socio-ecological systems, we expected a decrease of provisioning and an increase of regulating ES, whereas we expected the opposite pattern when it results in land-use intensification. To test this hypothesis, we compared demographic data and ES estimated with Soil and Water Assessment Tool (SWAT) linked to land-use changes between the 1950s and 2000s in three rural areas of Aragón (NE Spain). Generalized Additive Mixed Models and Linear Mixed-Effect Models were used to analyze demographic trends, ES changes and the relationship between them. We found severe depopulation (−42% inhabitants) and associated land-use changes in the three areas, which was particularly evident in isolated mountainous zones (−63% inhabitants). Depopulation trends significantly affected land use and, consequently, all of the ES evaluated. In mountainous depopulated areas, land abandonment and rewilding resulted in the increase in water regulation (>1000%) and soil retention (>400%). In contrast, agriculture was intensified in more fertile and easy-to-access lowland areas, boosting the food production service (>600%). Accordingly, the interactions among depopulation, crop production and regulating ES should be considered in the management schemes and policies targeting rural areas for a balanced and sustainable supply of ES in the long term. © 2021 The Author(s)","Agricultural intensification; Demographic changes; Environmental management; Land-use change; Rewilding; Rural abandonment","","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85116608229"
"Fernández-Marrón M.","Fernández-Marrón, Melisa (57225009453)","57225009453","Between improvisation and a professional career. Police reforms in the national territory of La Pampa (Argentina, 1920-1933); [Entre a improvisação e uma carreira. Reformas policiais no Território Nacional de La Pampa (Argentina, 1920-1933)]; [Entre la improvisación y la carrera laboral. Las reformas policiales en el Territorio Nacional de La Pampa (Argentina, 1920-1933)]","2021","HiSTOReLo","13","27","","109","145","0","10.15446/historelo.v13n27.86874","https://www.scopus.com/pages/publications/85108910194?origin=resultslist","During the period between 1920 and 1933, the police force in the National Territory of La Pampa (Argentina) implemented various reforms in order to consolidate a professional career based on professionalization and the regulation of recruitment, training and creation of rank. Within the framework of the National Public Service streamlining, the institution proposed a filtration of its ineffective parts and an elimination not only of informality but also of favoritism as an access way. This article analyzes and characterizes the repercussions of these efforts as limitations from an institutional and social perspective. In the first place, this view allows for the reparation of the partial result of accuracy goals in selection, maintenance and sanitation of police officers. In the second place, it observes a heterogeneity process in career paths which gradually ceased to understand police work as a circumstantial occupation. Service records constitute the main source of documentation consulted for this article. © 2021 Universidad Nacional de Colombia. All rights reserved.","20<sup>th</sup> century; Argentina; Career paths; National territory of La Pampa; Police force; Professional career; Reforms","","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85108910194"
"Bhattarai B.; Upadhyaya R.; Neupane K.R.; Devkota K.; Maskey G.; Shrestha S.; Mainali B.; Ojha H.","Bhattarai, Basundhara (57204533687); Upadhyaya, Rachana (57212191912); Neupane, Kaustuv R. (57208575867); Devkota, Kamal (57513545000); Maskey, Gyanu (57202039751); Shrestha, Suchita (57397396200); Mainali, Bandita (37066254900); Ojha, Hemant (14045557700)","57204533687; 57212191912; 57208575867; 57513545000; 57202039751; 57397396200; 37066254900; 14045557700","Gender inequality in urban water governance: Continuity and change in two towns of Nepal","2021","World Water Policy","7","1","","30","51","17","10.1002/wwp2.12052","https://www.scopus.com/pages/publications/85124419562?origin=resultslist","Gender-based inequality has long been recognized as a challenge in water governance and urban development. Women do most of the water collection-related tasks in the majority of low-income country's urban areas, as they do in rural areas for drinking, household consumption, kitchen gardening, and farming. However, their voice is rarely heard in water governance. When climate change exacerbates water scarcity, it becomes harder for people to secure water with more pronounced effects on women. Drawing on the narratives of men and women involved in water management practices and also the views of the stakeholders who are part of water resource management in two towns in Nepal, this paper demonstrates emerging forms of gender inequality concerning access to and control over water resources, as well as associated services such as sanitation. We found that women's voice in water governance is systematically excluded, and such gender-based disadvantage intersects with economic disadvantage as women in low-income poor urban settlements are experiencing additional difficulty in accessing water and sanitation services. Gender inequity persists in the urban water sector, and of course the wider social structures, despite some progressive policy changes in recent years, such as the 30% quota reserved for women in local-level water management bodies in Nepal. The paper concludes that tackling gender inequity in water management requires a transformative approach that seriously takes into account women's voice, critical awareness, and open deliberation over the causes and consequences of the current approaches and practices. Moreover, gender-inclusive outcomes on water management are linked to changes in areas outside of the water sector, such as property ownership structures that constrain or enable women's access to water and related services. © 2021 Policy Studies Organization","critical awareness; gender inequity; Nepal; transformative approach; urban water management; water insecurity","","Article","Final","","Scopus","2-s2.0-85124419562"
"Nawaz A.; Singh Arora A.; Yun C.M.; Lee J.J.; Lee M.","Nawaz, Alam (57200502517); Singh Arora, Amarpreet (55901746800); Yun, Choa Mun (58866915000); Lee, Jung June (57887839200); Lee, Moonyong (56967110700)","57200502517; 55901746800; 58866915000; 57887839200; 56967110700","Development of Smart AnAmmOx System and Its Agile Operation and Decision Support for Pilot-Scale WWTP","2021","Soft Computing Techniques in Solid Waste and Wastewater Management","","","","423","454","2","10.1016/B978-0-12-824463-0.00024-0","https://www.scopus.com/pages/publications/85137902513?origin=resultslist","Several technologies have been developed for nutrient removal based on the popular environment-friendly anaerobic ammonium oxidization (AnAmmOx) process. However, despite decades of research, it is significantly difficult to perform nutrient removal using AnAmmOx under strict regulations due to process complexity, nonlinearity, anomalies involving sensor failure, online monitoring, time consumption, increased consumable costs, lack of decision support, and sludge pumping for robust operation. This chapter presents the development and findings of a smart AnAmmOx system (SmartASys) that comprises a stand-alone package to address the aforementioned complex challenges. The package is equipped with supervisory control for different types of optimized data-driven functionalities. These functionalities (i.e., soft sensing, decision-making support for engineers, and a sequencing batch reactor mathematical model simulator) were developed using advanced algorithms (i.e., artificial neural network, Kalman filter, principal component analysis, and least-squares technique) and software (i.e., MATLAB® R2018a, Microsoft Visual Studio 2016 IDE; Integrated Development Environment, Microsoft SQL Server 2014, and object linking and embedding for process control Automation for connection with XGT series programing logic controller product group that combines the technology of LSIS). This study aims to enhance the energy consumption of a pilot-scale wastewater treatment plant located in Daegu (Republic of Korea). © 2021 Elsevier Inc. All rights reserved.","AnAmmOx; decision support; SCADA; SmartASys; soft sensor","","Book chapter","Final","","Scopus","2-s2.0-85137902513"
"Jóźwiakowski K.; Marzec M.; Listosz A.; Gizińska-Górna M.; Micek A.; Pytka A.; Pochwatka P.; Rybczynska-Tkaczyk K.","Jóźwiakowski, Krzysztof (36657245600); Marzec, Micha∤ (56966397500); Listosz, Agnieszka (57190174163); Gizińska-Górna, Magdalena (56966742000); Micek, Agnieszka (57225973809); Pytka, Aneta (56966699900); Pochwatka, Patrycja (57196317454); Rybczynska-Tkaczyk, Kamila (55209937300)","36657245600; 56966397500; 57190174163; 56966742000; 57225973809; 56966699900; 57196317454; 55209937300","The Influence of Household Wastewater Treatment Plants with Drainage System on the Quality of Groundwater in the Lublin Province, Poland","2021","Journal of Ecological Engineering","22","3","","18","39","6","10.12911/22998993/132545","https://www.scopus.com/pages/publications/85101826727?origin=resultslist","The work presented the assessment of household wastewater treatment plants with drainage systems on the quality of groundwater in dug wells and deep water wells in the area of 3 selected communes (Drelow, Dębowa Kloda and Urszulin), located in the Lublin province in south-eastern Poland. The investigations of the physicochemical composition of water from selected 28 dug wells and 2 deep water wells were conducted from June to July 2020, involving 9 measurement series. The microbiological studies consisted in 4 measurement series. The composition of the wastewater from primary settling tanks discharged to soil via drainage systems located in the vicinity of considered wells was also examined on a single occasion. The studies indicate that the water from wells are significantly polluted with ammonia, nitrites, as well as compounds of natural origin: iron and manganese. The presence of microbiological pollution of fecal origin was noted. The studies clearly indicate the possible pollution of the analyzed well waters with domestic sewage discharged to soil via drainage systems. Therefore, it necessary to take the actions aimed at improving the quality of groundwater in the Lublin province, including limitation of drainage systems, especially in the areas with unfavorable subsurface and hydrological conditions as well as low water supply coverage. The need to introduce changes in legal regulations and strategies for the development of technical infrastructure in counties, favoring the most efficient, as well as simple and inexpensive technologies, was indicated. © 2021, Journal of Ecological Engineering. All rights reserved.","drainage system; groundwater; household wastewater treatment plants; microbiological pollutants; physical and chemical pollutants; water quality; wells","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85101826727"
"Bolaane B.; Tema N.; Phuthologo B.","Bolaane, Benjamin (8872568600); Tema, Nnyaladzi (57226085399); Phuthologo, Botlhe (57226085251)","8872568600; 57226085399; 57226085251","Barriers and coping strategies of households with no access to drinking water and waterborne sanitation in two low-income neighbourhoods in Botswana","2021","Habitat International","115","","102372","","","6","10.1016/j.habitatint.2021.102372","https://www.scopus.com/pages/publications/85110402114?origin=resultslist","The importance of access to safe drinking water and improved sanitation facilities have by and large driven the global water, sanitation and hygiene agenda. However, a large segment of the global population, particularly in developing countries remain without access. Botswana has made significant strides towards improving access to safe drinking water and improved sanitation, but there have been observations in certain low-income neighbourhoods in Gaborone and Francistown that some households lacked access to such services. Furthermore, the coping strategies used by households to mitigate lack of access to drinking water and sanitation services were unclear. This study established barriers to household accessing drinking water and waterborne sanitation in urban neighbourhoods of Botswana and determined coping strategies employed by households without access. It is a cross-sectional survey of two neighbourhoods of Old Naledi (Gaborone) and Monarch North (Francistown). A semi-structured questionnaire was used to interview household respondents that were purposively selected. It was found that land tenure with its different manifestations is the primary barrier to access to safe drinking water and waterborne sanitation services. Households who lacked access to drinking water mainly fetched water from their neighbours and contributed to the water bill, while those without access to waterborne sanitation used pit latrines as their sanitation option. The study recommends that in order to facilitate drinking water and waterborne sanitation access it is important that the socio-economic conditions of potential beneficiaries are understood at a low level of aggregation such as a household to enable household-specific policy interventions. © 2021","Barriers; Botswana; Coping strategies; Drinking water; Social inclusion; Waterborne sanitation","Botswana; Francistown; Gaborone; coping strategy; drinking water; hygiene; land tenure; low income housing; sanitation; social inclusion; socioeconomic conditions; water availability; water supply","Article","Final","","Scopus","2-s2.0-85110402114"
