record_id,title,authors,year,doi,url,full_text_decision,exclusion_reason,exclusion_reason_detail,notes
R9E24EC349D72,Getting on the grid: A field experiment on bottom-up political pressure and access to essential public services,"Gaikwad, Thomas",2026,10.1111/ajps.70068,https://onlinelibrary.wiley.com/doi/10.1111/ajps.70068,include,,,
R0E4C0CE0DA80,"Groundwater-based water services as complex socio-hydrogeological systems: insights from Vietnam’s Mekong Delta; [作为复杂社会—水文地质系统的地下水型供水服务：来自越南湄公河三角洲的启示]; [Services d’eau fondés sur les eaux souterraines en tant que systèmes socio-hydrologiques complexes: enseignements tirés du delta du Mékong au Vietnam]; [Serviços de água baseados em águas subterrâneas como sistemas socio-hidrogeológicos complexos: Percepções do Delta do Mekong, no Vietnã]; [Servicios de agua basados en aguas subterráneas como sistemas socio-hidrogeológicos complejos: perspectivas del delta del Mekong en Vietnam]; [Các dịch vụ cấp nước dựa vào nước ngầm như những hệ thống địa chất thủy văn - xã hội phức tạp: Góc nhìn từ Đồng bằng sông Cửu Long, Việt Nam]",Carrard N.; Gonzalez D.; MacArthur J.; Anh Minh N.; Giang Nam N.D.; Rodgers D.; Foster T.,2026,10.1007/s10040-026-03100-8,https://www.scopus.com/pages/publications/105041652596?origin=resultslist,include,,,
R2395BBEECBDA,"Issues of Bounded Geographies and Participatory Governance in Accessing Water in Informal Settlements: A Case of Khulna City, Bangladesh",Salauddin M.; Piracha A.,2026,10.1002/wwp2.70088,https://www.scopus.com/pages/publications/105038970091?origin=resultslist,include,,,
R8A0F64980998,"Environmental stress, water inequality, and environmental justice in Palestinian urban areas: a GIS-based assessment of sanitation and infrastructure disparities in the southern West Bank",Nassar N.; Al Zabadi H.; Chabaane Z.,2026,10.1186/s12940-026-01286-8,https://www.scopus.com/pages/publications/105036655158?origin=resultslist,include,,,
R38BF0F168948,"Characteristics of Settlement on Water in Tobati Village, Papua: Challenges and Sustainability Strategies",Nurmaningtyas A.R.; Hamzah B.; Aprianti E.,2026,,https://www.scopus.com/pages/publications/105037845612?origin=resultslist,include,,,
R004673C197B1,"Water supply and infrastructure challenges in rural low-Income arid and semi-arid lands (ASALs): A case study of Turkana, Kenya",Abungu V.; Firouzjaei M.D.; Terry L.G.; Elliott M.A.,2026,10.1371/journal.pwat.0000509,https://www.scopus.com/pages/publications/105032129478?origin=resultslist,include,,,
R6B4F2B51A205,Assessing water security and governance complexity in the Owabi river catchment in Ghana,Agyeman N.K.; Tantoh H.B.; Kamika I.,2026,10.1007/s43621-026-03268-9,https://www.scopus.com/pages/publications/105042554884?origin=resultslist,include,,,
RA9BC8541CADC,Community-based to centralized provision: the transformation of aflaj beyond Oman’s national drinking water strategy,Lindt K.,2026,10.1080/07900627.2026.2649586,https://www.scopus.com/pages/publications/105035597773?origin=resultslist,include,,,
RC848E4BF3E91,Accelerating Safe Water and Sanitation Access in Urban Periphery and Low-Income Areas: The Case of Kenya,Koros J.K.; Juuti P.S.; Juuti R.P.; Mutie J.,2026,10.1177/1087724X251356460,https://www.scopus.com/pages/publications/105013366069?origin=resultslist,include,,,
R78CBA3706419,(Re)producing uneven waterscapes in South China: the materiality and spatiality of the Dongshen inter-basin water supply project,Wang R.Y.,2026,10.1111/1745-5871.12684,https://www.scopus.com/pages/publications/85210084808?origin=resultslist,include,,,
RDF2264278929,‘Bad water just means bad health’: identifying barriers and promoters of safe drinking water in rural Eastern North Carolina,Savelli L.B.; Koonce D.; Viera K.E.; Thapa S.; Woods C.G.,2026,10.1088/2752-5309/ae4f17,https://www.scopus.com/pages/publications/105033915661?origin=resultslist,include,,,
R0A9643F7E2EC,Exploring Kenya’s Small-Scale Water Services for a More Sustainable Future,Koros J.K.; Juuti P.S.; Juuti R.P.; Asokan S.M.,2026,10.1177/1087724X261447370,https://www.scopus.com/pages/publications/105037048680?origin=resultslist,include,,,
