record_id,title,authors,year,doi,url,full_text_status,full_text_location,full_text_decision,exclusion_reason,exclusion_reason_detail,reviewer_1,reviewer_2,conflict,final_decision,notes
R2A00E8E9D49E,Improving First Nations water security through governance,Alcantara,2020,,https://onlinelibrary.wiley.com/doi/abs/10.1111/capa.12363,retrieved,"provided by researcher via chat upload, 2026-09-12 (session-ephemeral; researcher should retain own permanent copy)",exclude,E05,"Full text confirms this is a theoretical/conceptual framework paper, not an empirical study. Authors state explicitly (p.171, Conclusion): 'we think it is useful to construct a fully developed theoretical framework prior to data collection' -- no original empirical evidence or analysis is presented anywhere in the article; illustrative examples (Mohawk Council of Akwesasne, Whitecap Dakota) are drawn from public secondary documents, not primary data collection or systematic empirical analysis.",Claude-AI-fulltext-2026-09-12,,,,
R205DDBDB40FB,Divided infrastructure: legal exclusion and water inequality in an urban slum in Mumbai India,"Lubeck-Schricker, Patil-Deshmukh, Murthy, Chaubey, Boomkar, Shaikh, Shitole, Eliasziw, Subbaraman",2023,10.1177/09562478221121737,https://journals.sagepub.com/doi/10.1177/09562478221121737,retrieved,"provided by researcher via chat upload, 2026-09-12 (session-ephemeral; researcher should retain own permanent copy)",include,,,Claude-AI-fulltext-2026-09-12,,,,
R9E24EC349D72,Getting on the grid: A field experiment on bottom-up political pressure and access to essential public services,"Gaikwad, Thomas",2026,10.1111/ajps.70068,https://onlinelibrary.wiley.com/doi/10.1111/ajps.70068,retrieved,"provided by researcher via chat upload, 2026-09-12 (session-ephemeral; researcher should retain own permanent copy)",include,,,Claude-AI-fulltext-2026-09-12,,,,
R0912E3546254,Water Utilities Capacity and Governance: Insights into Sustainable Service Improvement,Asfaw T.D.; Dejen Z.A.; Mekonen S.; Kassegn M.; Melaku A.; Gezahegn K.; Abera Z.,2026,10.1007/s41101-025-00462-0,https://www.scopus.com/pages/publications/105027523038?origin=resultslist,,,,,,,,,,
R700199742CC6,"Fecal sludge management system approach for establishing policy framework in urban areas of Vientiane Capital, Lao PDR",Sidlakone S.; Ichiki A.,2026,10.2166/washdev.2026.251,https://www.scopus.com/pages/publications/105043937417?origin=resultslist,retrieved,"provided by researcher via chat upload, 2026-09-12 (session-ephemeral; researcher should retain own permanent copy)",exclude,E07,"Study examines the downstream fecal sludge collection/transport/treatment chain (desludging frequency, effluent BOD5/COD/TN/TP compliance, pollution loads) and government regulatory/institutional capacity to manage that chain (licensing, enforcement, institutional overlaps) -- not household-level legal/administrative barriers to obtaining a water/sanitation connection. All 230 surveyed households already have on-site sanitation facilities (flush/pour-flush toilets, septic tanks); the study's outcome is the FS treatment rate (20%->50% policy target) and environmental compliance, not household access, connection, or exclusion. Genuinely borderline given its real governance/institutional analysis content -- flagging for second-reviewer attention. Note: 8 other fecal sludge management papers already sit in this pool (search likely pulled a topical cluster) that may share this same wrong-service issue and deserve a consistent look.",Claude-AI-fulltext-2026-09-12,,,,
R1070B38261EF,Bridging the Gap in Urban Water Accessibility: Exploring the Barriers to Equity in Water Access in Ghana,Fobi Kontor M.; Núñez Collado J.R.; Brown A.,2026,10.1007/978-3-032-20649-7_4,https://www.scopus.com/pages/publications/105040166221?origin=resultslist,,,,,,,,,,
R6ED6084F5486,Corruption and SDG 6: Clean Water and Sanitation for All,Breen M.; Marks D.,2026,10.4324/9781003570912-7,https://www.scopus.com/pages/publications/105039408625?origin=resultslist,,,,,,,,,,
R4DC68FE0F0DC,Leveraging Artificial Intelligence for Comprehensive Analysis of Community and Rural Aqueduct Systems,Salazar-Gámez L.; Ojeda-Ocaña R.; Rosero-Lombana P.; Calpa-Villarreal J.; Chañag-Checa S.; Insuasty-Enríquez J.; Cerón-Rosales A.; Garzón T.,2026,10.28991/CEJ-2026-012-03-03,https://www.scopus.com/pages/publications/105034086530?origin=resultslist,retrieved,"Full text supplied by researcher via chat upload to Claude Code session 2026-09-12 (Civil Engineering Journal Vol 12 No 03, DOI 10.28991/CEJ-2026-012-03-03); researcher should retain their own permanent copy.",exclude,E06,"AI-driven diagnostic study of 14 community aqueduct systems in Pasto, Colombia across Technical/Environmental/Administrative-Accounting/Psychosocial dimensions. Unit of analysis is the aqueduct system (n=14), not the household -- outcomes are provider-side technical performance (WQRI, flow rates) and the provider organization's own regulatory/tax compliance (Law 142/1994, IFRS, DIAN electronic invoicing, labor formalization) rather than legal/administrative mechanisms of household access. Psychosocial component addresses internal community-governance legitimacy/participation in managing the aqueduct, not legal barriers to household connection or service access. Core contribution is a GenAI diagnostic methodology (p.900), not a legal/administrative-access study.",Claude-AI-fulltext-2026-09-12,,,,
R103C2A0F907F,"Flows against the current: governance and politics of wastewater reuse in Valle Alto, Bolivia",Saldías C.; Echeverría I.; Vargas V.; Saavedra O.,2026,10.1080/07900627.2026.2677000,https://www.scopus.com/pages/publications/105040961806?origin=resultslist,retrieved,"Full text supplied by researcher via chat upload to Claude Code session 2026-09-12 (Int. J. Water Resources Development, DOI 10.1080/07900627.2026.2677000); researcher should retain their own permanent copy.",exclude,E01,"Strong qualitative governance/institutional-bricolage study (Saldías et al.) with rich legal analysis (Bolivia Law 1333, customary usos y costumbres, EPSA mandates) -- but the population/exposure is smallholder farmers accessing treated municipal wastewater for AGRICULTURAL IRRIGATION (p.503-511), not household connection to a networked water or sanitation service (PROJECT_SPEC.md sec7 primary outcome). Falls under INCLUSION_EXCLUSION.md exclusion criterion 7 (water-resource studies unrelated to household or community SERVICE access). Borderline given methodological fit with Family A/C moderators -- flagged for second-reviewer attention given the close call on scope (irrigation reuse vs. household drinking-water/sanitation access).",Claude-AI-fulltext-2026-09-12,,,,
R8CEA97553141,Legal Frameworks for Equitable Water Governance: Strengthening Policy Mechanisms for Sustainable Water Access and Rights,Somvanshi J.; Patil-Nikam A.M.; Singh N.; Bhattacharjee M.; Kumar R.; Dutta N.; Dash S.S.,2026,,https://www.scopus.com/pages/publications/105043578069?origin=resultslist,,,,,,,,,,
R15EF22174A64,Financial insecurity among sanitation workers and its impacts on safe service reliability: a case study of the Arusha depot manual emptying group,Kimwaga R.; Magambo H.; Ndezi T.,2026,10.2166/washdev.2026.007,https://www.scopus.com/pages/publications/105046847110?origin=resultslist,retrieved,"Full text supplied by researcher via chat upload to Claude Code session 2026-09-12 (J. Water, Sanitation and Hygiene for Development Vol 16 No 7, DOI 10.2166/washdev.2026.007); researcher should retain their own permanent copy.",exclude,E02,"Mixed-methods case study (financial diaries, interviews, FGDs) of the Arusha Depot Group manual pit-emptiers in Tanzania. Population/exposure is sanitation WORKERS' financial insecurity (income volatility, informal employment, lack of social protection); outcome is service reliability as mediated by worker behavior (client prioritization, delayed response, p.640-641). Households appear only as the workers' own dependents/expenditure burden, not as the population accessing a service via a legal/administrative pathway. Does not map onto this review's household/applicant unit of analysis or outcome hierarchy (PROJECT_SPEC.md sec7) -- it is a labor-economics study of the supply side of informal sanitation service delivery, not household legal/administrative access.",Claude-AI-fulltext-2026-09-12,,,,
R0E4C0CE0DA80,"Groundwater-based water services as complex socio-hydrogeological systems: insights from Vietnam’s Mekong Delta; [作为复杂社会—水文地质系统的地下水型供水服务：来自越南湄公河三角洲的启示]; [Services d’eau fondés sur les eaux souterraines en tant que systèmes socio-hydrologiques complexes: enseignements tirés du delta du Mékong au Vietnam]; [Serviços de água baseados em águas subterrâneas como sistemas socio-hidrogeológicos complexos: Percepções do Delta do Mekong, no Vietnã]; [Servicios de agua basados en aguas subterráneas como sistemas socio-hidrogeológicos complejos: perspectivas del delta del Mekong en Vietnam]; [Các dịch vụ cấp nước dựa vào nước ngầm như những hệ thống địa chất thủy văn - xã hội phức tạp: Góc nhìn từ Đồng bằng sông Cửu Long, Việt Nam]",Carrard N.; Gonzalez D.; MacArthur J.; Anh Minh N.; Giang Nam N.D.; Rodgers D.; Foster T.,2026,10.1007/s10040-026-03100-8,https://www.scopus.com/pages/publications/105041652596?origin=resultslist,retrieved,"Full text supplied by researcher via chat upload to Claude Code session 2026-09-12 (Hydrogeology Journal (2026) 34:1927-1942, DOI 10.1007/s10040-026-03100-8); researcher should retain their own permanent copy.",include,,,Claude-AI-fulltext-2026-09-12,,,,
R7E7395199865,Assessing the Targeting Efficiency of Clean Water Subsidies Under Uncertainty,Williams H.; Upendram S.; Mingie J.; Cho S.-H.,2026,10.1007/s00267-026-02581-3,https://www.scopus.com/pages/publications/105047556857?origin=resultslist,,,,,,,,,,
R96730AA0B95E,Political Ecology and Social Production of Drinking Water Scarcity in India's Contaminated Landscapes,Ranjan A.; Mallick S.; Mandal K.K.,2026,10.1111/geoj.70087,https://www.scopus.com/pages/publications/105038927372?origin=resultslist,,,,,,,,,,
RF658E0A799E3,Expert group decision-making on ESG strategies for water public sanitation utilities under fiscal and budgetary constraints in Brazil,de Lima M.D.S.; Silva W.D.O.; Neto M.M.; Fontana M.E.; Silva A.E.A.,2026,10.1016/j.jup.2026.102252,https://www.scopus.com/pages/publications/105040972926?origin=resultslist,,,,,,,,,,
R1B34F60D5F79,"Assessing urban water security in Awash River Basin, Addis Ababa, and its surrounding towns using Integrated Urban Water S ecurity Index",Legass A.M.; Alamirew T.; Gebrehiwot S.G.; Haro-Monteagudo D.; Tsegaye L.; Begashaw G.B.,2026,10.1007/s43621-025-02575-x,https://www.scopus.com/pages/publications/105031933820?origin=resultslist,retrieved,"Full text supplied by researcher via chat upload to Claude Code session 2026-09-12 (Discover Sustainability (2026) 7:354, DOI 10.1007/s43621-025-02575-x); researcher should retain their own permanent copy.",exclude,E06,"Composite water security index study (IUWSI/DECS framework) dominated by hydrology, water-quality chemistry (arsenic, E. coli, BOD, turbidity), GIS spatial mapping, and CMIP6 climate modeling. 'Governance' appears only as a single household-survey satisfaction item (71.3% dissatisfied with AAWSA, sec4.4/Appendix A) and generic policy-recommendation language (transboundary governance, kebele forums); no legal, administrative, or institutional access mechanism is analyzed as an exposure variable. Falls under exclusion criteria 2-4 (engineering/water-quality/hydrology study without substantive governance or access analysis).",Claude-AI-fulltext-2026-09-12,,,,
R0806C5E6D586,"Management of water, sanitation and hygiene facilities in basic schools within the Mfantseman Municipality, Ghana",Annan K.K.; Mariwah S.; Annan A.; Chirisa I.,2026,10.1007/s43621-025-02504-y,https://www.scopus.com/pages/publications/105028956745?origin=resultslist,,,,,,,,,,
R3E3041A3D444,Household Water Insecurity Severity Across Urban Areas with Varying Aridity Levels in Sub-Saharan Africa: Examples from Namibia,Munyayi R.; Swatuk L.A.; Mazvimavi D.; Chiramba T.; Mapani B.,2026,10.1016/j.wasec.2026.100200,https://www.scopus.com/pages/publications/105034764603?origin=resultslist,,,,,,,,,,
RE6A2DD28A55C,"Improving payment for essential services – A field experiment in Nairobi, Kenya",Fuente D.; Mwaura M.; Gitu J.; Mulwa R.; Cook J.,2026,10.1016/j.jup.2026.102240,https://www.scopus.com/pages/publications/105039705978?origin=resultslist,,,,,,,,,,
RA05D3AF00122,Tehran’s Water Scarcity Dilemma: Insights from a 150-Year Adaptive Cycle Assessment,Rahimi M.; Ghorbani M.,2026,10.1007/s41101-026-00541-w,https://www.scopus.com/pages/publications/105043063288?origin=resultslist,,,,,,,,,,
R2395BBEECBDA,"Issues of Bounded Geographies and Participatory Governance in Accessing Water in Informal Settlements: A Case of Khulna City, Bangladesh",Salauddin M.; Piracha A.,2026,10.1002/wwp2.70088,https://www.scopus.com/pages/publications/105038970091?origin=resultslist,retrieved,"Full text supplied by researcher via chat upload to Claude Code session 2026-09-12 (World Water Policy, DOI 10.1002/wwp2.70088); researcher should retain their own permanent copy.",include,,,Claude-AI-fulltext-2026-09-12,,,,
REDAACBE44344,Drinking Water and Sewerage Provision at the Municipal Level in a Context of Regional Heterogeneity (2008-2019); [La provisión de agua potable y alcantarillado a nivel municipal en un contexto de heterogeneidad regional (2008-2019)],Rivera Á.M.R.,2026,10.19053/UPTC.01203053.V45.N81.2026.18769,https://www.scopus.com/pages/publications/105038949064?origin=resultslist,,,,,,,,,,
R441952AE11D2,"Co-Creating an Intersectional Water Justice Toolkit and Documentary in Cape Town, South Africa",Puvaneyshwaran D.; Logie C.H.; Van Borek S.; Abrams A.; Grootboom L.; MacKenzie F.; Taing L.; Perez-Brumer A.; Gittings L.,2026,10.1177/15248399261421596,https://www.scopus.com/pages/publications/105030064583?origin=resultslist,retrieved,"Full text supplied by researcher via chat upload to Claude Code session 2026-09-12 (Health Promotion Practice, DOI 10.1177/15248399261421596); researcher should retain their own permanent copy.",exclude,E05,"Published under Health Promotion Practice's 'Resources, Frameworks, and Perspectives' section -- describes the co-design and components of an advocacy toolkit and 17-min documentary film ('Water Justice Alliance-Building Toolkit'), built from 10 walk-along interviews, 5 focus groups, and 2 alliance-building workshops with activists across five social movements. No outcome relevant to access, connection, service availability, reliability, quantity, affordability, or exclusion is measured or reported (INCLUSION_EXCLUSION.md criterion 4) -- the article reports on toolkit/film development and components, not empirical findings about water access determinants. A knowledge-mobilization/practice resource, not an empirical access study.",Claude-AI-fulltext-2026-09-12,,,,
R50C907E99BA5,Effectiveness of emergency WASH strategies in disaster-prone areas of Africa: a systematic review,Chirwa E.; Mwalwanda A.; Soko M.; Mbakaya B.C.,2026,10.2166/washdev.2026.166,https://www.scopus.com/pages/publications/105046841709?origin=resultslist,retrieved,"Full text supplied by researcher via chat upload to Claude Code session 2026-09-12 (J. Water, Sanitation and Hygiene for Development Vol 16 No 7, DOI 10.2166/washdev.2026.166); researcher should retain their own permanent copy.",exclude,E04,"Systematic review (PROSPERO CRD42024628289) of the effectiveness of emergency WASH/sanitation interventions (latrines, water treatment, chlorine sprayers) on HEALTH outcomes (cholera/disease prevention) during disasters in Africa (6 included studies). Outcome is disease incidence/health impact, not access, connection, service availability, reliability, quantity, affordability, or exclusion (PROJECT_SPEC.md sec7). No legal, administrative, institutional, or governance factor is examined as an exposure -- 'policy' appears only generically in implications-for-practice language, not as an analyzed mechanism. Wrong outcome relative to this review's hierarchy.",Claude-AI-fulltext-2026-09-12,,,,
RDE592D874BF6,"Barriers to Effective Water Resource Management in Foumbot, Cameroon: Infrastructure, Policy, and Community Engagement",Atem N.V.; Lee J.-Y.; Akom E.B.; Chia R.W.; Bello F.A.,2026,10.9720/kseg.2026.1.015,https://www.scopus.com/pages/publications/105035240448?origin=resultslist,,,,,,,,,,
R6AC5A5B9248F,Influence of customer satisfaction and perceived water service quality on urban water supply management: A systematic review,Ogata R.; Matsumoto S.; Otsuka T.; Hattori Y.; Kitawaki H.,2026,10.1016/j.clrc.2026.100389,https://www.scopus.com/pages/publications/105027029389?origin=resultslist,,,,,,,,,,
RA568151DBC58,Reconciling heritage and modern water infrastructures: design challenges from the Indian Himalayan Region,Dhaundiyal S.,2026,10.1080/25741292.2025.2552003,https://www.scopus.com/pages/publications/105015168732?origin=resultslist,,,,,,,,,,
REA787B5D11B9,"Local power dynamics of rural water supply in Bambili, Northwest Cameroon",Tantoh H.B.; McKay T.J.M.; Leonard L.,2026,10.1080/13549839.2026.2644481,https://www.scopus.com/pages/publications/105033058695?origin=resultslist,,,,,,,,,,
R4F8CFC42FFE1,Responsible leadership and sustainability performance of health and sanitation projects: the mediating role of resilience,Kyambade M.; Mwesigwa R.; Alinda K.; Tumwine S.; Lwanga F.,2026,10.3389/frsus.2026.1838166,https://www.scopus.com/pages/publications/105044543819?origin=resultslist,retrieved,"Full text supplied by researcher via chat upload to Claude Code session 2026-09-12 (Frontiers in Sustainability 7:1838166, DOI 10.3389/frsus.2026.1838166); researcher should retain their own permanent copy.",exclude,E02,"Cross-sectional PLS-SEM survey (n=520 respondents: project managers, engineers, public health officers, M&E staff, procurement officers, beneficiary reps) across 86 health/sanitation PROJECTS in Central Uganda. Exposure is 'responsible leadership' style; mediator is organizational resilience (shock absorption, redundancy, adaptability); outcome is 'sustainability performance' (triple bottom line: economic/social/environmental viability of the PROJECT). Population is project staff/implementers, not households/applicants; outcome is organizational/project performance, not household connection, access, reliability, or affordability (PROJECT_SPEC.md sec7). No legal, administrative, or regulatory access mechanism is examined -- this is organizational-behavior/leadership scholarship, not a legal-administrative access study.",Claude-AI-fulltext-2026-09-12,,,,
R76155657D06D,Disparities in Drinking Water Security: Implications for Achieving SDG 6 in Native American Nations in the United States,Bandala E.R.; Ayoko G.A.; Goonetilleke A.,2026,10.1177/19394071251414501,https://www.scopus.com/pages/publications/105046983067?origin=resultslist,,,,,,,,,,
R8A0F64980998,"Environmental stress, water inequality, and environmental justice in Palestinian urban areas: a GIS-based assessment of sanitation and infrastructure disparities in the southern West Bank",Nassar N.; Al Zabadi H.; Chabaane Z.,2026,10.1186/s12940-026-01286-8,https://www.scopus.com/pages/publications/105036655158?origin=resultslist,retrieved,"Full text supplied by researcher via chat upload to Claude Code session 2026-09-12 (Environmental Health (2026) 25:39, DOI 10.1186/s12940-026-01286-8); researcher should retain their own permanent copy.",include,,,Claude-AI-fulltext-2026-09-12,,,,
R4BBBD030011B,Water for All: A Strategic Assessment of Drinking Water Management at Cox's Bazar of Bangladesh in the Light of SDGs,Molla M.H.; Chowdhury M.A.T.; Muhibbullah M.,2026,10.1002/sd.70770,https://www.scopus.com/pages/publications/105029533073?origin=resultslist,retrieved,"Full text supplied by researcher via chat upload to Claude Code session 2026-09-12 (Sustainable Development, DOI 10.1002/sd.70770); researcher should retain their own permanent copy.",exclude,E01,"Stakeholder-perception SDG-alignment scorecard (Likert-scale agreement scores on 20 targets across 6 SDGs -- climate, urban resilience, marine, biodiversity, health, water/sanitation) plus a technical municipal water supply-demand gap calculation. Community participation (Target 6.b) is one of 20 equally-weighted Likert items, not an analyzed legal/administrative access mechanism with a measured connection/access outcome; administrative/bureaucratic/political barriers appear only as a minor category (~8% combined) in a household 'key challenges' figure dominated by budget/technical/salinity factors. No specific legal, administrative, institutional, or regulatory mechanism is traced against a household-level access outcome -- this is a needs-assessment/SDG-scorecard study, not a legal-administrative access study.",Claude-AI-fulltext-2026-09-12,,,,
R38BF0F168948,"Characteristics of Settlement on Water in Tobati Village, Papua: Challenges and Sustainability Strategies",Nurmaningtyas A.R.; Hamzah B.; Aprianti E.,2026,,https://www.scopus.com/pages/publications/105037845612?origin=resultslist,retrieved,"Full text supplied by researcher via chat upload to Claude Code session 2026-09-12 (Journal of Design and Built Environment Vol 26 No 1, 2026); researcher should retain their own permanent copy.",include,,,Claude-AI-fulltext-2026-09-12,,,,
RD5F4C87F3A7F,Water Supply Megaproject in a Developing Nation: Lessons in Stakeholder Dynamics and Postcompletion Resilience from Prolonged Delays,Sharma Bhattarai S.; Kisi K.; Dhakal R.; Kim H.,2026,10.1061/JLADAH.LADR-1362,https://www.scopus.com/pages/publications/105018459067?origin=resultslist,,,,,,,,,,
RDAD1AD310708,Women as teammates: Gender composition of village councils and policy outcomes in India,Singhania D.; Roy Chowdhury S.,2026,10.1080/03003930.2026.2690384,https://www.scopus.com/pages/publications/105042404538?origin=resultslist,,,,,,,,,,
R276B6A86C010,"Evaluation of Sustainable Water, Sanitation and Hygiene Systems in Primary Schools in the eThekwini District of South Africa",Mazingisa A.V.; Wiysonge C.S.; Kgware M.,2026,10.3390/su18115333,https://www.scopus.com/pages/publications/105041558573?origin=resultslist,,,,,,,,,,
R819F9D5C3821,Household Perspectives on Urban Water Service Delivery: Implications for Policy and Practice in the Philippines,Preña E.M.; Labayo C.P.; Lorenzana E.A.; Poja J.G.; Montas M.M.P.,2026,10.1177/1087724X261439281,https://www.scopus.com/pages/publications/105034418725?origin=resultslist,,,,,,,,,,
R004673C197B1,"Water supply and infrastructure challenges in rural low-Income arid and semi-arid lands (ASALs): A case study of Turkana, Kenya",Abungu V.; Firouzjaei M.D.; Terry L.G.; Elliott M.A.,2026,10.1371/journal.pwat.0000509,https://www.scopus.com/pages/publications/105032129478?origin=resultslist,retrieved,"Full text supplied by researcher via chat upload to Claude Code session 2026-09-12 (PLOS Water 5(3): e0000509, DOI 10.1371/journal.pwat.0000509); researcher should retain their own permanent copy.",include,,,Claude-AI-fulltext-2026-09-12,,,,
R6B4F2B51A205,Assessing water security and governance complexity in the Owabi river catchment in Ghana,Agyeman N.K.; Tantoh H.B.; Kamika I.,2026,10.1007/s43621-026-03268-9,https://www.scopus.com/pages/publications/105042554884?origin=resultslist,retrieved,"Full text supplied by researcher via chat upload to Claude Code session 2026-09-12 (Discover Sustainability (2026) 7:934, DOI 10.1007/s43621-026-03268-9); researcher should retain their own permanent copy.",include,,,Claude-AI-fulltext-2026-09-12,,,,
R85534933BB87,"Green dreams and toxic realities: Exploring the environmental health risks and coping strategies of women in mining settlements in Obuasi, Ghana",Donkor P.; Siabi E.K.; Mensah S.K.; Frimpong K.,2026,10.1016/j.resourpol.2026.105957,https://www.scopus.com/pages/publications/105039867405?origin=resultslist,,,,,,,,,,
R26FD0045CAAA,Exploring the role of institutional governance in enhancing sustainability performance of health and sanitation projects in Uganda: a qualitative inquiry,Kyambade M.; Mwesigwa R.; Alinda K.; Tumwine S.; Lwanga F.,2026,10.1108/SRJ-11-2025-1179,https://www.scopus.com/pages/publications/105040955670?origin=resultslist,retrieved,"Full text supplied by researcher via chat upload to Claude Code session 2026-09-12 (Social Responsibility Journal Vol 22 No 8, 2026, pp.1684-1702, DOI 10.1108/SRJ-11-2025-1179); researcher should retain their own permanent copy.",exclude,E02,"Qualitative institutional-theory inquiry (21 interviews with policymakers, health officers, and project managers) into how governance (policies, regulatory frameworks, organizational structures) shapes the 'sustainability performance' (economic/social/environmental continuity beyond donor funding) of health/sanitation PROJECTS in Uganda. Population is project-level stakeholders/implementers, not households/applicants; outcome is organizational/project continuity and legitimacy (institutional isomorphism framing), not household connection, access, reliability, or affordability (PROJECT_SPEC.md sec7). Same scope issue as the related R4F8CFC42FFE1 (Kyambade et al., responsible leadership) already excluded from this same author cluster -- this is donor-project governance/organizational-sustainability scholarship, not a household legal-administrative access study.",Claude-AI-fulltext-2026-09-12,,,,
RD53EF642C7B9,"Towards Safe and Equitable Water Access in Karst Landscapes: Lessons from a Community Water System in Bantimurung Bulusaraung National Park, Indonesia",Isnan W.; Achmad A.; Nugroho H.Y.S.H.; Demmalino E.B.,2026,10.13189/eer.2026.140408,https://www.scopus.com/pages/publications/105046905839?origin=resultslist,,,,,,,,,,
RC0FF0932D727,"Priority Strategy for Managing Water Settlement Using Eco-Settlement: SWOT-AHP Approach in Tobati Village, Jayapura, Indonesia",Nurmaningtyas A.R.; Hamzah B.; Aprianti E.,2026,10.14445/23488352/IJCE-V13I6P121,https://www.scopus.com/pages/publications/105043801831?origin=resultslist,,,,,,,,,,
RBC0BE29043B2,"Displacement, infrastructure deficits and public health risks in post-conflict Marawi during the COVID-19 pandemic",Opdyke A.; Latiph A.A.; Shrief M.C.; Yape E.,2026,10.1108/IJDRBE-06-2025-0069,https://www.scopus.com/pages/publications/105035419113?origin=resultslist,,,,,,,,,,
R68B09ED28BA5,"Assessing the current access to water and sanitation in informal settlements: a case study of Lerato Park, Northern Cape Province, South Africa",Mndzebele M.G.; Onatu G.,2026,10.3389/fhumd.2026.1746745,https://www.scopus.com/pages/publications/105032435842?origin=resultslist,,,,,,,,,,
R567DAF227DB7,Strategy formulation for accelerating safe sanitation improvement in Lamongan,Andhi D.D.; Yulfiah Y.,2026,10.22515/y379nm75,https://www.scopus.com/pages/publications/105042076726?origin=resultslist,,,,,,,,,,
R24E6C749E5D4,"Reimagining water governance through feminist perspectives: Women’s everyday experiences in the Toltén Hydrosocial Territory, Southern Chile",Hernando-Arrese M.; Ibarra M.I.; Bolados P.,2026,10.1016/j.envsci.2026.104408,https://www.scopus.com/pages/publications/105039993548?origin=resultslist,,,,,,,,,,
R707BE74315E0,"Water, pipes and the cholera pathogen: The colonial politics of germs and water infrastructures in the Philippines",Yanquiling R.S.; Dressler W.H.; Smith W.,2026,10.1111/sjtg.70081,https://www.scopus.com/pages/publications/105047229906?origin=resultslist,,,,,,,,,,
R065923F09AD9,Toxic waters and broken promises: The struggle for health equity in informal settlements,Kadiri Y.,2026,10.1177/00420980261470590,https://www.scopus.com/pages/publications/105047815075?origin=resultslist,,,,,,,,,,
RFDDA47F19D8F,"Stakeholder priorities for sustaining operations and maintenance of school sanitation facilities in Kampala City, Uganda",Byansi J.Z.; Semiyaga S.; Katukiza A.Y.; Bateganya N.L.; Nakaye A.M.; Kansiime F.; Kulabako R.N.,2026,10.1186/s12982-026-02148-x,https://www.scopus.com/pages/publications/105040542431?origin=resultslist,,,,,,,,,,
R157D7AF18CE9,Access to safe sanitation services and factors associated with personal protective equipment utilisation among sanitation workers in Ethiopia: a mixed-methods study,Hailu Tesfaye A.; Kabito G.G.; Gelaye K.A.; Eyachew D.; Dessie A.; Hussein N.; Abere G.; Mekonnen T.H.,2026,10.1136/bmjopen-2026-116558,https://www.scopus.com/pages/publications/105046724938?origin=resultslist,,,,,,,,,,
RFA6952EDCAD9,"From the Paramos to the City: Environmental History, Water Sources, and More-Than-Human Governance for the City of Quito, Ecuador; [Dos páramos à cidade: história ambiental, fontes de água e governança mais que humana para a cidade de Quito, Equador]; [De los páramos a la urbe: historia ambiental, fuentes de agua y gobernanza más que humana para la ciudad de Quito, Ecuador]",Villagómez-Reséndiz R.,2026,10.7440/histcrit99.2026.04,https://www.scopus.com/pages/publications/105032780064?origin=resultslist,,,,,,,,,,
R7050D3D0A9CF,The State of SDG 6 in Nigeria (2016-2024): A Critical Review of Progress and Future Strategies,Ogunbode T.O.,2026,10.1177/11786302261417003,https://www.scopus.com/pages/publications/105040151111?origin=resultslist,,,,,,,,,,
R0EA2F719D175,Integrating local perceptions and Bayesian belief networks into model ecosystem services multifunctionality in the Colombian Andes,Rojas C.; Riascos-Ochoa J.; Clerici N.; Longo-Sánchez M.C.,2026,10.1007/s40808-026-02735-6,https://www.scopus.com/pages/publications/105035617005?origin=resultslist,,,,,,,,,,
R174328BEEE2D,Urban India’s water supply woes: A review of policies and provisioning,Lenka A.K.; Chanchal R.; Sheemar V.,2026,10.1201/9781003771937-102,https://www.scopus.com/pages/publications/105039036228?origin=resultslist,,,,,,,,,,
REA35C26A8C6C,A compliance assessment tool for household pit latrines and cesspits against RS ISO 24521: evidence from Kigali City,Murebwayire M.L.; Nilsson E.; Wali U.G.; Nhapi I.,2026,10.3389/fpubh.2026.1795680,https://www.scopus.com/pages/publications/105042358174?origin=resultslist,,,,,,,,,,
R651E8D4F8F49,A systems thinking approach to operationalizing integrated water resources management in Ethiopia through leverage points and feedback loops,Dinsa H.T.; Nurhusein M.M.,2026,10.1007/s43621-026-03103-1,https://www.scopus.com/pages/publications/105039421668?origin=resultslist,,,,,,,,,,
RB334FC53A1A9,"Beyond “Potty Parity”: Public Toilets, Gendered Time Costs, and Institutional Accountability in Everyday Mobility",Glavanits J.; Fényes Z.,2026,10.3390/laws15030055,https://www.scopus.com/pages/publications/105042872695?origin=resultslist,,,,,,,,,,
