record_id,full_text_status,full_text_location,notes
RFDF7EA5FF09E,not_retrievable,,No OA copy found via Unpaywall.
R1827C03DA45A,not_retrievable,,No OA copy found via Unpaywall.
R38CC9DBA6C4F,not_retrievable,,No OA copy found via Unpaywall.
R5C2B84F190D4,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\FOLDER 3\R5C2B84F190D4_matimolane_2026.pdf,Retrieved OA via OpenAlex extra thorough check
R77BFC4654E8A,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\FOLDER 3\R77BFC4654E8A_ma__2026.pdf,Retrieved OA via OpenAlex extra thorough check
RB5AB6D9B5EDC,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\RB5AB6D9B5EDC_gonzález_2026.pdf,Retrieved OA via https://revistas.intec.edu.do/index.php/ciso/article/download/3453/4480
R58AB990CAC8C,not_retrievable,,Failed to download PDF from https://www.mdpi.com/2071-1050/18/1/491/pdf: HTTP Error 403: Forbidden
R3858447F3CCC,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\R3858447F3CCC_grisaffi_2026.pdf,Retrieved OA via https://www.esawas.org/wp-content/uploads/2024/04/Esawas_Report_2022.pdf
R33BD6C13CC90,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\R33BD6C13CC90_sihle_2026.pdf,Retrieved OA via https://www.bussecon.com/ojs/index.php/ijbes/article/download/1217/801
R7634BCED8A76,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\FOLDER 3\R7634BCED8A76_chiwawa_2026.pdf,Retrieved OA via OpenAlex extra thorough check
R367F9B17DAF2,not_retrievable,,No OA copy found via Unpaywall.
R44F4D16ABBEA,not_retrievable,,No OA copy found via Unpaywall.
RA10042C12DA6,not_retrievable,,No OA copy found via Unpaywall.
R0B487EBF3E2E,not_retrievable,,No OA copy found via Unpaywall.
R233D390BB2E5,not_retrievable,,No OA copy found via Unpaywall.
R405E7018BF00,not_retrievable,,No OA copy found via Unpaywall.
RF61C9C96A786,not_retrievable,,No OA copy found via Unpaywall.
RE955C8795F4F,not_retrievable,,No OA copy found via Unpaywall.
R52A8AB2CCD59,not_retrievable,,No OA copy found via Unpaywall.
R777144B14CC0,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\R777144B14CC0_alrowais_2026.pdf,Retrieved OA via https://www.nature.com/articles/s41598-026-43239-8_reference.pdf
R1F93B54A2F6C,not_retrievable,,No OA copy found via Unpaywall.
RC6FA0285F8C5,not_retrievable,,No OA copy found via Unpaywall.
RA74F4B51903E,not_retrievable,,Failed to download PDF from https://www.shs-conferences.org/articles/shsconf/pdf/2026/01/shsconf_iccb2026_01001.pdf: HTTP Error 403: Forbidden
R7FB99A985F04,not_retrievable,,No OA copy found via Unpaywall.
R7483D039D4E7,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\FOLDER 3\R7483D039D4E7_dutta_2026.pdf,Retrieved OA via OpenAlex extra thorough check
R844EAC3AEE12,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\R844EAC3AEE12_dewi_2026.pdf,Retrieved OA via https://iopscience.iop.org/article/10.1088/1755-1315/1622/1/012019/pdf
R2080235B9686,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\R2080235B9686_clerc_2026.pdf,Retrieved OA via https://www.cambridge.org/core/services/aop-cambridge-core/content/view/78AFB5D7A52328C1837E27A45C2DABAD/S2059479826100659a.pdf/div-class-title-integrating-water-and-energy-solutions-for-socio-economic-transition-after-mine-closure-div.pdf
R2A8EEFB4A0D3,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\R2A8EEFB4A0D3_eduardo_2026.pdf,Retrieved OA via https://periodicos.fgv.br/cgpc/article/download/92874/90881
RB98391D60D8F,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\RB98391D60D8F_tekeli_2026.pdf,Retrieved OA via https://reference-global.com/download/article/10.2478/eual-2026-0004.pdf
R4E4ABB0DA4F5,not_retrievable,,No OA copy found via Unpaywall.
