record_id,full_text_status,full_text_location,notes
R74125D7B650D,not_retrievable,,No OA copy found via Unpaywall.
R5104D5ACF77A,not_retrievable,,Failed to download PDF from https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ajs4.70020: HTTP Error 403: Forbidden
RDF9117B5BD26,not_retrievable,,No OA copy found via Unpaywall.
R34A26DC79A8B,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\R34A26DC79A8B_alvaredo_2025.pdf,Retrieved OA via https://doi.org/10.15847/cct.36875
RC94FAE19435A,not_retrievable,,No OA copy found via Unpaywall.
R5C25784E85C8,not_retrievable,,No OA copy found via Unpaywall.
RBCF65969CA4A,not_retrievable,,No OA copy found via Unpaywall.
R6A776E9F321E,not_retrievable,,No OA copy found via Unpaywall.
R30B01FDAF470,not_retrievable,,Failed to download PDF from https://www.tandfonline.com/doi/pdf/10.1080/10402659.2025.2485300?needAccess=true: HTTP Error 403: Forbidden
RC61AA453D176,not_retrievable,,Failed to download PDF from https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/psj.12564: HTTP Error 403: Forbidden
RAD821298C663,not_retrievable,,No OA copy found via Unpaywall.
R09A594443F58,not_retrievable,,No OA copy found via Unpaywall.
RC2CB18536B31,not_retrievable,,No OA copy found via Unpaywall.
R520D9BDD606C,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\R520D9BDD606C_cabezas_2025.pdf,Retrieved OA via https://revistas.intec.edu.do/index.php/ciso/article/download/3527/4268
R2EF19C86C363,not_retrievable,,No OA copy found via Unpaywall.
R30DBB67F3325,not_retrievable,,No OA copy found via Unpaywall.
R0EADB40410CF,not_retrievable,,No OA copy found via Unpaywall.
R6BF40E4B213E,not_retrievable,,No OA copy found via Unpaywall.
RDA995C67EB68,not_retrievable,,No OA copy found via Unpaywall.
R7CAEA6D1F8F2,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\R7CAEA6D1F8F2_pablo_2024.pdf,Retrieved OA via https://dilemascontemporaneoseducacionpoliticayvalores.com/index.php/dilemas/article/download/4331/4182
RB6FA86535665,not_retrievable,,No OA copy found via Unpaywall.
R64FBAD6F3FDE,not_retrievable,,No OA copy found via Unpaywall.
RD759AB5F88A1,not_retrievable,,No OA copy found via Unpaywall.
RDB82D9D06612,not_retrievable,,No OA copy found via Unpaywall.
RC660CF868FA0,not_retrievable,,No OA copy found via Unpaywall.
R278A87A0A282,not_retrievable,,No OA copy found via Unpaywall.
RBF0431994DDD,not_retrievable,,No OA copy found via Unpaywall.
R500470C1A1B0,not_retrievable,,No OA copy found via Unpaywall.
RE32410E4151B,not_retrievable,,No OA copy found via Unpaywall.
R88DA4EE1F4FC,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\R88DA4EE1F4FC_silva_2024.pdf,Retrieved OA via https://rgsa.openaccesspublications.org/rgsa/article/download/10311/5264
