record_id,full_text_status,full_text_location,notes
RA168CF9EC43E,not_retrievable,,No OA copy found via Unpaywall.
RC165BC72115E,not_retrievable,,Failed to download PDF from https://www.tandfonline.com/doi/pdf/10.1080/14662043.2016.1228351?needAccess=true: HTTP Error 403: Forbidden
RF39E37B1152B,not_retrievable,,No OA copy found via Unpaywall.
R2506CFFB306E,not_retrievable,,No OA copy found via Unpaywall.
R19C83E32D0E1,not_retrievable,,No OA copy found via Unpaywall.
RC8E7A15BCAE4,not_retrievable,,No OA copy found via Unpaywall.
R32A279CFF769,not_retrievable,,No OA copy found via Unpaywall.
R6A0B7568FB3A,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\R6A0B7568FB3A_murtha_2015.pdf,Retrieved OA via https://www.scielo.br/j/asoc/a/3tP56QFRgxQCX84J9zW9cpC/?lang=pt&format=pdf
R8D249B22771D,not_retrievable,,Failed to download PDF from http://www.scielo.br/pdf/asoc/v18n3/en_1809-4422-asoc-18-03-00253.pdf: HTTP Error 502: Bad Gateway
R117905075AEC,not_retrievable,,No OA copy found via Unpaywall.
R8D5E31FA5115,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\R8D5E31FA5115_murphy_2015.pdf,Retrieved OA via https://ojs.lib.uwo.ca/index.php/iipj/article/download/7470/6114
R94C540970575,not_retrievable,,No OA copy found via Unpaywall.
R3974945F7707,not_retrievable,,No OA copy found via Unpaywall.
R1265C2709842,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\R1265C2709842_ojeda_2015.pdf,Retrieved OA via https://revistas.uniandes.edu.co/index.php/res/article/download/5934/5809
RA4AB7C33C2E0,not_retrievable,,Failed to download PDF from http://www.scielo.br/pdf/asoc/v18n1/1414-753X-asoc-18-01-00059.pdf: HTTP Error 502: Bad Gateway
R6A066278CB75,not_retrievable,,No OA copy found via Unpaywall.
R376A8432AC2C,not_retrievable,,No OA copy found via Unpaywall.
R5614863C8D6E,not_retrievable,,No OA copy found via Unpaywall.
R9BAEB5F3B368,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\R9BAEB5F3B368_goraczko_2015.pdf,Retrieved OA via https://apcz.umk.pl/BGSS/article/download/bog-2015-0005/4998/15860
R7B4238C0F691,not_retrievable,,No OA copy found via Unpaywall.
R2A53E0A25CE8,not_retrievable,,No OA copy found via Unpaywall.
R03D7439F873C,not_retrievable,,No OA copy found via Unpaywall.
R2B8D3E7C4006,not_retrievable,,No OA copy found via Unpaywall.
R75900CFEF1EA,not_retrievable,,No OA copy found via Unpaywall.
R0EF03089DEC3,not_retrievable,,No OA copy found via Unpaywall.
R84FCE5A47D09,not_retrievable,,No OA copy found via Unpaywall.
R0B7EE19A8A50,not_retrievable,,Failed to download PDF from https://journals.sagepub.com/doi/pdf/10.1177/0956247815592285: HTTP Error 403: Forbidden
RFF4355ACB420,not_retrievable,,Failed to download PDF from https://journals.sagepub.com/doi/pdf/10.1177/0956247814567058: HTTP Error 403: Forbidden
R82B0A8A2A278,not_retrievable,,No OA copy found via Unpaywall.
RED78A982436F,not_retrievable,,No OA copy found via Unpaywall.
R9F1FB9F1D75D,not_retrievable,,No OA copy found via Unpaywall.
R87FBB9180C15,not_retrievable,,No OA copy found via Unpaywall.
R150C5FBFA557,not_retrievable,,No OA copy found via Unpaywall.
R3EBABC9227C3,not_retrievable,,Failed to download PDF from https://www.tandfonline.com/doi/pdf/10.1080/02723638.2015.1005414?needAccess=true: HTTP Error 403: Forbidden
R9072A754F837,not_retrievable,,Failed to download PDF from https://www.tandfonline.com/doi/pdf/10.1080/01436597.2015.1068111?needAccess=true: HTTP Error 403: Forbidden
RDE53A2FE1BAD,not_retrievable,,No OA copy found via Unpaywall.
R727E74956984,not_retrievable,,No OA copy found via Unpaywall.
R8C1BDB76105B,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\FOLDER 3\R8C1BDB76105B_perera_2015.pdf,Retrieved OA via OpenAlex extra thorough check
R139D522CD1BC,not_retrievable,,No OA copy found via Unpaywall.
R2772B94F6E5E,not_retrievable,,No OA copy found via Unpaywall.
RB39539FFABEC,not_retrievable,,No OA copy found via Unpaywall.
R01EC667EA2B2,not_retrievable,,No OA copy found via Unpaywall.
RD077D53AD370,not_retrievable,,No OA copy found via Unpaywall.
RC80C4545C96E,not_retrievable,,No OA copy found via Unpaywall.
R09476239ACAF,not_retrievable,,No OA copy found via Unpaywall.
R6E6BEDC8C211,not_retrievable,,No OA copy found via Unpaywall.
R000FED66EADD,not_retrievable,,No OA copy found via Unpaywall.
R4BBE5A2D92EE,not_retrievable,,No OA copy found via Unpaywall.
R28DF90FAA6A2,not_retrievable,,No OA copy found via Unpaywall.
RC3AC23403C33,not_retrievable,,No OA copy found via Unpaywall.
