record_id,full_text_status,full_text_location,notes
R131D44D2032B,not_retrievable,,No OA copy found via Unpaywall.
R380F4FE21384,not_retrievable,,No OA copy found via Unpaywall.
R7FBDF527DD60,not_retrievable,,No OA copy found via Unpaywall.
R0E0F6D8C3330,not_retrievable,,Failed to download PDF from https://www.mdpi.com/2073-4441/11/10/2180/pdf?version=1571474078: HTTP Error 403: Forbidden
RF8BD93786D82,not_retrievable,,No OA copy found via Unpaywall.
RA84EFD886B54,not_retrievable,,Failed to download PDF from https://www.mdpi.com/2073-4441/11/9/1926/pdf?version=1568518768: HTTP Error 403: Forbidden
R8351AF92DB41,not_retrievable,,Failed to download PDF from https://www.mdpi.com/2073-4441/11/2/295/pdf?version=1550489900: HTTP Error 403: Forbidden
RBE9F3D24FDF4,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\FOLDER 3\RBE9F3D24FDF4_sanogo_2019.pdf,Retrieved OA via OpenAlex extra thorough check
R3520D2BF6FB3,not_retrievable,,No OA copy found via Unpaywall.
RFFB5BFDE3838,not_retrievable,,No OA copy found via Unpaywall.
R9D838E8FBB65,not_retrievable,,No OA copy found via Unpaywall.
R684F94E229C3,not_retrievable,,Failed to download PDF from https://www.mdpi.com/2073-4441/11/9/1919/pdf?version=1569211835: HTTP Error 403: Forbidden
RB2F4F556A21A,not_retrievable,,No OA copy found via Unpaywall.
R26A37A98FF1D,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\R26A37A98FF1D_dewachter_2019.pdf,Retrieved OA via https://epress.lib.uts.edu.au/journals/index.php/cjlg/article/download/7021/7400
R372282DE211B,not_retrievable,,No OA copy found via Unpaywall.
R83FD4293023F,not_retrievable,,No OA copy found via Unpaywall.
RDBEE0C32E0CA,not_retrievable,,Failed to download PDF from https://escholarship.org/content/qt8ph0b5f8/qt8ph0b5f8.pdf?t=p94hux: HTTP Error 403: Forbidden
RFE07661F24F1,not_retrievable,,No OA copy found via Unpaywall.
RCB5C36AC5A54,not_retrievable,,Failed to download PDF from https://www.tandfonline.com/doi/pdf/10.1080/13600818.2017.1416072?needAccess=true: HTTP Error 403: Forbidden
R215A46C61B6D,not_retrievable,,Failed to download PDF from https://www.tandfonline.com/doi/pdf/10.1080/02508060.2018.1535417?needAccess=true&: HTTP Error 403: Forbidden
R3D6B3724D341,not_retrievable,,Failed to download PDF from https://www.mdpi.com/1660-4601/15/4/567/pdf?version=1525344660: HTTP Error 403: Forbidden
RFEFB1427701B,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\RFEFB1427701B_morales_2018.pdf,Retrieved OA via https://revistas.ucr.ac.cr/index.php/psm/article/download/32031/33382
RFF85BF668424,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\RFF85BF668424_mora-alvarado_2018.pdf,Retrieved OA via https://revistas.tec.ac.cr/index.php/tec_marcha/article/download/3967/3550
RDE671123A010,not_retrievable,,No OA copy found via Unpaywall.
RD44ED5F07FED,not_retrievable,,No OA copy found via Unpaywall.
R2E8B036BE02F,not_retrievable,,Failed to download PDF from https://www.mdpi.com/2413-8851/2/1/22/pdf?version=1520444397: HTTP Error 403: Forbidden
R526DB7DFDBEF,not_retrievable,,No OA copy found via Unpaywall.
R2830B61ED4DE,not_retrievable,,No OA copy found via Unpaywall.
R39FC015AF6E0,not_retrievable,,No OA copy found via Unpaywall.
R9502CE771F1E,not_retrievable,,No OA copy found via Unpaywall.
RF2C820137767,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\RF2C820137767_cáceres_2017.pdf,Retrieved OA via https://revistaselectronicas.ujaen.es/index.php/atma/article/download/3613/2961
R8D4D5CF53A02,not_retrievable,,No OA copy found via Unpaywall.
R7D5F5F2BBA7E,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\R7D5F5F2BBA7E_catenazzi_2017.pdf,Retrieved OA via https://revistaselectronicas.ujaen.es/index.php/atma/article/download/3612/2960
R7896D097B364,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\FOLDER 3\R7896D097B364_minaverry_2017.pdf,Retrieved OA via OpenAlex extra thorough check
R1CD68BF79E67,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\R1CD68BF79E67_scott_2017.pdf,Retrieved OA via https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0182982&type=printable
RF6A57AF91895,not_retrievable,,No OA copy found via Unpaywall.
RA4E33539DCB7,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\RA4E33539DCB7_marchi_2017.pdf,Retrieved OA via https://revistas.javeriana.edu.co/index.php/ambienteydesarrollo/article/download/20002/15451
R5C0FB7C8A56E,not_retrievable,,Failed to download PDF from https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1477-8947.12128: HTTP Error 403: Forbidden
REDC07790866A,not_retrievable,,No OA copy found via Unpaywall.
RB91AA8546813,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\FOLDER 3\RB91AA8546813_ciulinaru_2017.pdf,Retrieved OA via OpenAlex extra thorough check
R595251DE2748,not_retrievable,,No OA copy found via Unpaywall.
RDF44B378C1AE,retrieved,c:\Users\DPLaw\.gemini\antigravity\playground\ultraviolet-coronal\mission_results\pdfs\RDF44B378C1AE_rivera_2017.pdf,Retrieved OA via https://revistaselectronicas.ujaen.es/index.php/atma/article/download/3475/2805
R13199AD17D84,not_retrievable,,No OA copy found via Unpaywall.
