record_id,exclusion_reason,year,authors,title,doi,url,abstract,ai_rationale
R16CFB7D4D05B,E01,1978,"Thee, Marek",Armaments Dynamic and Military Research and Development,https://doi.org/10.1177/030437547800400104,https://www.proquest.com/docview/1980075440?accountid=13598&bdid=165489&_bd=pf1Ugp4HcQ%2F6uZcyvRyHxNbeWkk%3D,"The paper examines the present escalation of armaments, both conventional and nuclear, the mind-boggling stockpiles (with the capacity to destroy all life on earth many times over), the incredible speed of replacement of old and innovation and deployment of ever newer, ever more sophisticated and ever more lethal weapon system in their dynamic development. It identifies four factors of the armaments dynamic and, after examining each of them, comes to the conclusion that the most important and most dangerous is the military R&D. It has engulfed all scientific disciplines - natural, social and behavioural - and penetrated into industry, laboratories, universities, special research institutes and centres of learning. Military R&D not only absorbs the best scientific and technological talent, but also distorts priorities in scientific research itself. Having forged a symbiotic relationship with the structures of economy, politics and state bureaucracy, it has acquired an autonomous and self-propelling existence, making of the armaments race an exponential curve - rapid and steep and unending - and defying any kind of social control. Military R&D has also become an instrument of diplomacy; it blocks all attempts at arms limitation, even on a very modest scale, by vitiating the very negotiating process: efforts to achieve quantitative limitations are offset by qualitative compensations, and arms control negotiation is turned into a collaborative exercise in armaments escalation. Above all, military R&D gobbles up the resources that could well go to relieving mass poverty and providing the basic necessities of life to people around the world. The paper ends by suggesting a series of action to undermine, if not dismantle, the formidable structure so as to open the way to disarmament.","""Armaments Dynamic and Military Research and Development"" concerns organizational/bureaucratic, institutional, or unrelated social-science topics with no water or sanitation service dimension."
R307356263094,E01,1994,"Kachuk, Patricia",A resistance to British cultural hegemony: Irish-language activism in west Belfast,https://doi.org/10.2307/25605768,https://www.proquest.com/docview/214177653?accountid=13598&bdid=165489&_bd=O7bUr%2Fhl%2BzVXUw4HFaOlB0tc7Zo%3D,"Concessions gained(f.8) in early 1980 campaigns by Irish-language activists paled in comparison with those attained by similar groups in Wales.  Yet, for Irish-language activists the gains represented significant progress over the days when the Irish language had been totally ignored by the British State.  Thus, the Irish-language movement had been infused with new hope.  Alternative Irish-language activists began to devise ways that would channel the momentum of the Irish revival occurring in Belfast into the building of a permanent Irish-language infrastructure, the element they felt had been lacking in all previous language revivals, and one which had doomed them to failure.  This infrastructure was to be founded on two key elements: the establishment of a daily Irish-language newspaper;(f.9) and the development of an Irish-language education system.(f.10) The cultivation of a stable infrastructure would, alternative Irish-language activists reasoned, help ensure that future generations of Northern Irish Nationalists would live in a bilingual society.  As one Irish-language activist put it:Throughout this analysis, I have argued that not all Irish-language activism is motivated by revolutionary ideology.  To use [Raymond Williams]' terminology, both alternative and oppositional ideologies are major components of the Irish-language struggle and, as he points out, the demarcation between alternative and oppositional resistance is hazy. This haziness is also evident in the methods used by the opposing groups to achieve their aims, but I have argued that the two forms of resistance do differ in their adherents' visions of a future for Northern Ireland. Alternative Irish-language activists are seeking a permanent space for the Irish language and culture in Northern Ireland regardless of its future  political status.  Oppositional Irish-language activists, have incorporated the Irish language into the revolutionary struggle for a ""free and Irish,"" 32-county Republic of Ireland.  While the ideology of these two forms of Irish-language activism differs, it could be argued that the strategy alternative Irish-language activists utilize to reach their goals is potentially beneficial to oppositional Irish-language activists.  Theoretically, an ethnic minority group that is self-aware of its uniqueness and aware that it is culturally and linguistically different from the effective dominant culture can be defined as a nation group (Connor 1978).  Through efforts to unify and mobilize the people of West Belfast to challenge the effective dominant culture that is suppressing ""our language"" and ""our culture"" in favour of ""their language"" and ""their culture,"" alternative Irish-language activists are creating a nation group.  This nation group, in which Sinn Fein claims membership, is challenging the legitimacy of a common enemy, the British State, demanding it give recognition and support to the rights of Irish speakers.  Therefore, alternative Irish-language activists, inasmuch as they are mobilizing an ethnic group that is necessary to achieve their own goal of creating a permanent Irish-language infrastructure, are also creating a nation group which can be a pool of both latent and actual support for the goals of Sinn Fein.  In addition, the cross-cultural efforts of alternative Irish-language activists are of potential benefit to Sinn Fein because they may serve to re-spark Protestant nationalism, thus making Irish-speaking Protestants more receptive to a united Ireland.",Study of Irish-language activism in Belfast; unrelated to water/sanitation access.
REE11A54D6E56,E01,2004,"Sánchez, Llamas; Felipe",Los presupuestos participativos: nuevos mecanismos de innovación democrática en los gobiernos locales,,https://www.proquest.com/docview/2479780427?accountid=13598&bdid=165489&_bd=REtGhz8X7X%2BAyHsvx%2FRIx%2BIDmrs%3D,"Hablar hoy de los presupuestos participativos es hablar de una realidad en la gestión pública local que, según las estimaciones más recientes, se está aplicando en más de 250 ciudades y otros espacios supramunicipales. Es hablar de una dimensión financiera donde cientos de millones de euros son debatidos por la población de estas ciudades -cientos de miles de personas- en un complejo instrumento de innovación democrática y participación ciudadana en la torna de decisiones en la gestión pública, conformando un proceso -a nivel global- de nueva gobernabilidad local que pone a debate las clásicas formas e instituciones de la democracia representativa y que permite escuchar la voz de la ciudadanía en los procesos de toma de decisiones y en las agendas políticas a partir de nuevas demandas participativas y nuevas praxis de innovación democrática. ¿Cuáles son sus dimensiones políticas, participativas o financieras? ¿Cuáles son sus efectos sus ventajas, sus límites, sus desafíos y sus riesgos? Estas son algunas de las preguntas a las que se intenta dar repuesta en este artículo; sintetizando algunas de las ideas claves de las investigaciones más recientes, así como de las lecciones aprendidas de la experiencia concreta que se viene realizando en una ciudad española: Córdoba.","Study of participatory budgeting as democratic innovation in Cordoba, Spain; unrelated to water/sanitation."
R279F6AD780DC,E09,1999,"Emch, Michael","Diarrheal disease risk in Matlab, Bangladesh",https://doi.org/10.1016/S0277-9536(99)00146-X,https://www.proquest.com/docview/230480910?accountid=13598&bdid=165489&_bd=hNY059XqCdZ1JSxSwrJ0wHSoGwY%3D,"The objective of this research project is to assess risk for diarrheal disease in rural Bangladesh by analyzing the complex and dynamic interaction of biological, socioeconomic, cultural/behavioral and environmental factors over time and space.","One-sentence research objective statement on diarrheal disease risk factors in Matlab, Bangladesh; abstract is too thin (no methods, findings, or clear exposure) to judge inclusion criteria."
RF8A165BD8C84,E01,2012,,Isomorphism and Decoupling: Processes of External and Internal Legitimation in Southeast Asia,https://doi.org/10.3790/soc.62.1.25,https://www.proquest.com/docview/1800521828?accountid=13598&bdid=165489&_bd=ua5S81mIFdoSh7T0mnegUx0izHc%3D,"Wie können widersprüchliche Modernisierungsprozesse der Staaten Südostasiens analysiert werden? Auf der einen Seite zeigen die Staaten Kennzeichen moderner Staaten, während auf der anderen Seite traditionelle Formen wie Patronage, Cronyism usw. ein Merkmal der Staatsverwaltungen sind. Gleichzeitig sind die politischen und Verwaltungssysteme erstaunlich stabil und dazu in der Lage, einen Rahmen für rapide wirtschaftliche Entwicklung zu bilden. Im Artikel verwenden wir eine neo-instutionalistische Perspektive, vor allem Überlegungen zu ,decoupling' von Organisations- und Handlungsstruktur, um so die Diskrepanzen zwischen modernen Formen der Staaten mit ,asiatischen' Inhalten zu erfassen. Der neo-institutionalistische Ansatz wird mit dem Konzept der ,multiple modernities' und ,umstrittener Institutionalisierung' verbunden. So lassen sich die parellelen Prozesse von Universalisierungen, die sich aus Interdependenzen von Organisationen in einem ,organisational field' ergeben, mit Prozessen der Partikularisierung verbinden, durch die sich vielfältige Handlungsmöglichkeiten innerhalb der Staatsorganisation ergeben. Thailand und Myanmar wurden als Beispiele gewählt, da Thailand immer eine Strategie der internationalen Integration verfolgte, gegenüber dem auf Isolation bedachten Verhalten Myanmars.SummaryHow is it possible to analyse the seemingly contradictory modernization processes in Southeast Asian states? On the one hand, these states feature the universal characteristics of modern states, while on the other, seemingly traditional patterns such as patronage, cronyism, etc. are an integral part of their administrations. Furthermore, the states and bureaucracies are fairly stable and able to provide a framework for rapid economic development. This article combines a neo-institutionalist perspective that allows us to 'decouple' organizational structures from action structures, and thus take into account the discrepancy between the modern form and supposedly 'Asian' content of the states. It also considers the facts in the light of concepts such as 'multiple modernities' and 'contested institutionalism'. Thus, different modernization processes that lead to universalism are present, resulting from the interdependency of organizations within a global organizational field, as well as particularism which enables diversity in action. Thailand and Myanmar are taken as case studies, because Thailand has always followed a strategy of international integration, in contrast to isolationist Myanmar.","Sociology/political-science/history record on ""Isomorphism and Decoupling: Processes of External and Internal Legitimation in Southeast Asia""; no content on household water or sanitation service access, connection, or exclusion."
R2DCDDBE7AAE6,E01,2010,"Bellinger, Avril",Studying the Landscape: Practice Learning for Social Work Reconsidered,https://doi.org/10.1080/02615470903508743,https://www.proquest.com/docview/758124549?accountid=13598&bdid=165489&_bd=RpO7IXj5dV6HeHlZN4dQm%2F5MARc%3D,"This paper offers a critical analysis of the development and erosion of the infrastructure for practice learning in England over the past two decades. Although specifically focused on social work it illustrates the way resources can be eroded and so has implications for other professions regulated by government. During the first decade under consideration, UK support for social work practice learning was characterised by an acknowledged pedagogical purpose, nationally agreed standards, economic resources and a recognised status distinct from practice. In the following decade, a range of technical and administrative changes have resulted in the landscape of practice learning shifting with potentially serious consequences for the profession. At the time of writing, social work education is facing another review, prompted by the death of a child. The intention of the paper is to show how changes and improvements may be viewed differently when seen collectively. Announcements of new initiatives can divert attention from erosions that threaten the integrity of existing provision. The disappearance of frameworks and resources may have a real impact on the education of students to be professionals who can assess risk, manage uncertainty and uphold the rights of people with whom they work. Adapted from the source document.","Concerns ""Studying the Landscape: Practice Learning for Social Work Reconsidered"" (general infrastructure/urban/social-institutional topic); no household water or sanitation service access or legal/governance barrier to it is examined."
REA56C0F8417B,E01,2011,"Edelstein, Michael R",PRIVACY AND SECRECY: PUBLIC RESERVE AND THE HANDLING OF THE BP GULF OIL DISASTER,https://doi.org/10.1108/S0196-1152(2011)0000019006,https://www.proquest.com/docview/877460451?accountid=13598&bdid=165489&_bd=%2BkTvRuruB9PF86lMKfjP32mdGJc%3D,"In this chapter, the post-disaster handling of the British Petroleum Oil Spill in the Gulf of Mexico is analyzed according to the concept of ""Public Reserve."" Public Reserve extends the theory of privacy from the individual into the context of corporate behavior and environmental regulation and management by government. Secrecy is viewed as a form of privacy. [PUBLICATION ABSTRACT]","Paper on ""PRIVACY AND SECRECY: PUBLIC RESERVE AND THE HANDLING OF THE BP GULF OIL DISASTER""; a public administration/bureaucracy/sociology topic unrelated to water or sanitation service access or its legal/governance barriers."
R8752EF29D5A5,E04,2022,"Phillips, Daniel R.",Provisional Green Infrastructure in Indian Megacities: Assessing the Upscaling Potential of In-stream Interventions for Sustainable Urban Water Management,,https://www.proquest.com/docview/2685451965?accountid=13598&bdid=165485&_bd=QqbBwZlCv4iF1jmhuDKOeLrJG4c%3D,"The management of stormwater and wastewater is a critical challenge for urban sustainability, and one that is increasingly attended to by researchers and designers across a range of disciplines. Traditionally, water quality has been managed through large-scale, centrally managed infrastructure such as pipes, drains, and wastewater treatment facilities. Green infrastructure (GI) is an alternate approach that supplements these systems through decentralized nature-based solutions. This dissertation introduces a new type of GI, Provisional Green Infrastructure (PGI). PGI is posited as a speculative innovation typology for sustainable urban water management emerging from the Indian megacity, with important implications for other contexts. PGI is defined as “Informal nature-based retrofits to existing grey infrastructure networks for the purpose of improving water quality within highly unpredictable, space-constrained, and contaminated urban environments.”Throughout the research, PGI serves as a “boundary object” for grounding multiple lines of inquiry. Chapter 2 defines the PGI concept, and suggests its relevance for megacities characterized by a broad range of spatial, infrastructural and governance constraints. I situate PGI in the context of urban informality and introduce two distinct types of upscaling (spatial and organizational) as pathways for future diffusion. Chapter 3 draws on interviews and surveys to explore barriers to broader PGI adoption, identifying specific misalignments between innovators and Potential Future Adopters (PFA’s) using the Diffusion of Innovations (DOI) framework. It is suggested that additional efforts by innovators should be made to emphasize the simplicity and relative advantage of PGI to decision-makers. Chapter 4 establishes the efficacy of PGI designs for a range of important water quality parameters, and discusses the limitations on PGI performance in an in-stream context. PGI using both gravel and terracotta substrates both perform reasonably well for detaining or removing physical and biological contaminants, but show limited reductions of pathogens and Ammonia-N (for which there was an increase). KBOD5 removal rate was statistically significant for gravel substrate. TP removal was higher in terracotta substrate. Chapter 5 explores the potential for citywide impact using the Stormwater Management Model (SWMM 5) and discusses how various upscaling scenarios and variations in the spatial location and configuration of PGI’s may impact cumulative catchment-wide performance (including cost, water quality improvement, and issues of public access). The study is intended to be used as a model for future Decision Support Systems (DSS) for decision-makers by combining Technique for Order of Preference by Similarity to Ideal Solution (TOPSIS) along with a post-hoc sensitivity analysis to interpret the results given various weighting of input variables. The results suggest that upgradient dispersed configurations of PGI may be most advantageous in cases where the importance of public access and TSS capture is given more weight. Dispersed configurations of PGI performed better than centralized for reducing TP loading at downstream receiving waters and are higher ranked as advantageous when the importance of TP is given more weight.Citing the above as evidence-based design, the research concludes that PGI should not be viewed as a functional replacement for conventional wastewater treatment infrastructures, but rather as a supplementary stop-gap function in contexts where functional separation of wastewater and stormwater are unlikely to occur, or where existing large scale WWTP’s operate below their designed capacity.","Dissertation on informal green infrastructure retrofits for urban stormwater/wastewater quality management in Indian megacities; outcome is GI adoption/water quality, not household service access."
RC75E91F68F32,E05,2004,"Ockenden, Karma",Ofwat takes first stab at competition rules,,https://www.proquest.com/docview/232075805?accountid=13598&bdid=165485&_bd=lEgxhaKeTsMWJPUlYD%2FpaHBLKZk%3D,"The limited competition ear-marked for water edged closer when Ofwat put out its initial proposals on guidelines to govern market opening. The regulator invited views on its thoughts on the application process for new entrants, general and operational issues raised by competition, access charges and how disputes should be resolved. Access pricing is set to prove the thorniest issue. On disputes, Ofwat said it would step in to settle unresolved access terms and, if appropriate, impose financial penalties on those contravening its guidelines.",Trade press article on Ofwat's initial competition-rule proposals; not an empirical study.
R91101D640CD7,E01,1983,"Johnson, George E",Potentials of Labor Market Policy: A View from the Eighties,https://doi.org/10.1111/j.1468-232X.1983.tb00268.x,https://www.proquest.com/docview/222475203?accountid=13598&bdid=165489&_bd=ZfpnokhfZK7jwHENEEjd6ejwNkI%3D,"A brief overview of US labor-market policies over the past 10 years is presented, and the effectiveness of government training and employment programs in reducing unemployment is evaluated.  Government-sponsored training and employment programs are found to be ineffective in reducing cyclical unemployment, since frequently by the time they are implemented economic conditions have changed.  In addition, they fail to provide workers with training which is adequate to prepare them to enter the labor force under normal conditions.  During times of cyclical unemployment due to economic downturns, monetary policy is a more appropriate mechanism for increasing labor demand.  Employment and training programs can be effective in reducing long-run structural unemployment, caused by labor market failure to adjust to minimum wage requirements.  However, effective implementation of labor-market policies with long-range employment objectives requires an increased stability in program administration throughout successive presidential administrations.","Concerns ""Potentials of Labor Market Policy: A View from the Eighties"" (bureaucracy/public-administration/unrelated topic); no water or sanitation service-access content."
